Symbol,Latest Quarter,Sales QoQ %,Sales YoY %,Profit QoQ %,Profit YoY %,OPM Latest %,OPM Prev Year %,Profit Growth Streak (Qtrs)
J&KBANK.NS,Jun-26,8.37,8.5,-46.31,-11.55,0,0,0
JAIBALAJI.NS,Sep-25,-0.29,-13.1,-63.38,-83.01,5,15,0
JAINREC.NS,Jun-26,-12.27,75.86,4.55,21.05,4,6,4
JAMNAAUTO.NS,Jun-26,-27.26,6.63,-43.68,6.52,14,13,3
JARO.NS,Jun-26,-2.74,16.39,-47.62,37.5,21,23,3
JAYNECOIND.NS,Jun-26,6.74,27.77,1.57,108.6,19,19,2
JBMA.NS,Jun-26,-22.14,14.99,-47.62,12.82,11,10,9
JINDALSAW.NS,Jun-26,-3.91,8.98,-26.61,-78.07,9,16,0
JINDALSTEL.NS,Jun-26,-4.54,25.93,-18.92,-43.58,17,24,0
JIOFIN.NS,Jun-26,96.66,227.45,205.15,155.38,70,75,1
JKCEMENT.NS,Jun-26,3.7,20.25,-16.92,-15.12,16,21,0
JKLAKSHMI.NS,Jun-26,0.16,9.42,-13.6,-28,14,18,0
JKPAPER.NS,Jun-26,-4.02,13.61,51.11,61.9,15,15,2
JKTYRE.NS,Jun-26,-6.56,1.99,-75.28,-73.01,7,10,0
JLHL.NS,Jun-26,5.93,16.43,-24,-13.64,19,22,0
JMFINANCIL.NS,Jun-26,26.55,8.1,127.78,-19.61,58,76,0
JPPOWER.NS,Jun-26,28.14,12.19,3707.69,68.71,43,38,1
JSFB.NS,Jun-26,4.84,22.08,10.71,51.96,0,0,2
JSL.NS,Jun-26,-0.51,10.5,-7.79,7.55,12,13,6
JSLL.NS,Jun-26,3.7,28.74,46.67,29.41,41,45,4
JSWCEMENT.NS,Jun-26,0.05,21.54,-57.73,111.2,16,21,4
JSWDULUX.NS,Jun-26,9.29,-3.02,-36.51,-12.09,12,14,0
JSWENERGY.NS,Jun-26,15.74,1.24,-7.14,-36.24,55,54,0
JSWINFRA.NS,Jun-26,-5.06,18.06,-15.57,-8.21,47,47,0
JSWSTEEL.NS,Jun-26,-7.46,9.77,-75.6,112.58,20,17,6
JUBLFOOD.NS,Jun-26,2.84,13.67,21.95,6.38,20,19,5
JUBLINGREA.NS,Jun-26,10.26,25.24,23.26,41.33,15,14,2
JUBLPHARMA.NS,Jun-26,-2.66,17.25,-52.94,-45.1,11,15,0
JUSTDIAL.NS,Mar-24,1.89,15.88,26.09,38.1,26,14,7
JWL.NS,Jun-26,-13.97,46.19,-3.7,-16.13,10,13,0
JYOTHYLAB.NS,Mar-25,-5.26,1.06,-12.64,-2.56,17,16,0
JYOTICNC.NS,Jun-26,-15.19,23.9,-37.36,-19.72,21,24,0
KAJARIACER.NS,Jun-26,-3.28,20.4,8.92,55.45,20,17,5
KALYANKJIL.NS,Jun-26,3.06,45.69,-14.88,32.2,6,7,7
KANSAINER.NS,Jun-26,21.49,9.81,107.27,5.56,14,14,2
KARURVYSYA.NS,Jun-26,4.99,18.68,4.28,45.11,0,0,9
KAYNES.NS,Jun-26,-23.89,40.56,-38.46,-25.33,16,17,0
KEC.NS,Jun-26,-21.38,0.02,-62.18,-41.6,6,7,0
KEI.NS,Jun-26,-8.37,22.97,-3.52,39.8,12,10,9
KFINTECH.NS,Jun-26,2.88,30.29,-7.41,-2.6,34,41,0
KIMS.NS,Jun-26,9.77,35.32,12.12,-56.47,19,22,0
KIRLOSBROS.NS,Jun-26,-21.91,12.87,-39.29,0,10,11,0
KIRLOSENG.NS,Jun-26,-5.48,13.51,-28.39,-20.14,15,19,0
KIRLPNU.NS,Jun-26,-57.44,7.45,-77.08,32,15,12,9
KISSHT.NS,Jun-26,8.24,81.57,15.85,75.93,31,33,1
KITEX.NS,Jun-26,-4.82,-19.8,-88.89,-189.47,6,17,0
KNACK.NS,Jun-26,22.43,0,29.17,0,20,0,0
KNRCON.NS,Jun-26,-15.52,-4.08,-23.58,-34.15,16,30,0
KOTAKBANK.NS,Jun-26,2.96,6.42,1.05,22.54,0,0,3
KPIGREEN.NS,Jun-26,-12.81,15.09,-38.71,-14.41,35,34,0
KPIL.NS,Jun-26,-17.61,3.84,-27.61,45.79,9,9,6
KPITTECH.NS,Jun-26,-2.1,8.84,-28.83,-32.56,15,19,0
KPRMILL.NS,Jun-26,8.46,9.63,14.1,21.6,19,18,5
KRBL.NS,Jun-26,-1.97,-5.56,68.39,72.85,21,12,6
KRN.NS,Jun-26,40.78,119.13,43.48,175,19,15,4
KRT.NS,Jun-26,3.84,0,134.58,0,84,0,0
KSB.NS,Jun-26,14.98,3.6,42.5,-18.57,12,14,0
KSCL.NS,Jun-26,593.46,-13.62,1100,-14.37,40,39,0
KSHINTL.NS,Jun-26,14.34,108.23,20,82.61,6,7,2
KTKBANK.NS,Jun-26,5.58,5.4,2.7,43.49,0,0,3
KUSUMGAR.NS,Jun-26,-21.09,0,-47.56,0,30,0,0
LALPATHLAB.NS,Jun-26,13.51,19.1,28.79,26.87,31,29,1
LASERPOWER.NS,Jun-26,-22.55,0,-41.67,0,13,0,0
LATENTVIEW.NS,Jun-26,-0.69,21.61,-14.55,-7.84,20,21,0
LAURUSLABS.NS,Jun-26,11.81,29.04,28.37,123.46,32,24,7
LAXMIINDIA.NS,Jun-26,1.08,34.29,-19.05,70,0,0,3
LCL.NS,Jun-26,-1.57,0,-7.04,0,20,0,0
LEMONTREE.NS,Jun-26,-17.07,9.18,-50.86,18.75,43,44,8
LENSKART.NS,Jun-26,7.87,43.29,11.76,273.77,22,18,1
LGEINDIA.NS,Jun-26,-10.19,15.49,-5.77,27.29,12,11,1
LICHSGFIN.NS,Jun-26,-0.16,-1.43,0.4,9.9,0,0,2
LICI.NS,Jun-26,-13.33,6.76,-42.11,24,6,4.7,7
LINDEINDIA.NS,Jun-26,13.03,21.54,36.36,-1.87,29,34,0
LLOYDSENGG.NS,Jun-26,6.46,142.86,47.83,126.67,13,12,5
LLOYDSENT.NS,Jun-26,-21.81,70.09,59.42,-55.82,16,7,0
LLOYDSME.NS,Jun-26,22.16,208.47,13.33,170.09,38,33,5
LODHA.NS,Jun-26,6,43.1,36.21,103.41,38,28,9
LOTUSDEV.NS,Jun-26,-57.14,116.39,-54.46,76.92,36,48,3
LT.NS,Jun-26,-17.91,6.69,-18.67,15.52,12,13,1
LTF.NS,Jun-26,9.26,22.37,13.23,30.67,0,0,6
LTFOODS.NS,Jun-26,8.43,27.92,34.56,8.93,11,11,1
LTM.NS,Jun-26,2.8,17.96,5.91,17.05,18,17,2
LTTS.NS,Jun-26,2.87,11.45,7.21,12.97,19,17,2
LUMAXTECH.NS,Jun-26,-3.74,32.94,1.02,83.33,14,12,9
LUPIN.NS,Jun-26,10.73,32.05,-3.54,16.05,30,28,9
LXCHEM.NS,Jun-26,31.7,39.68,209.09,223.81,12,4.4,1
M&M.NS,Jun-26,5.83,27.8,14.03,37.03,19,18,8
M&MFIN.NS,Jun-26,3.23,14.57,-1.38,75.24,0,0,2
MAHABANK.NS,Jun-26,3.61,13.91,-1.08,34.51,0,0,9
MAHSCOOTER.NS,Jun-26,-10.28,-81.52,-17.21,-90.61,84.1,96.31,0
MAHSEAMLES.NS,Jun-26,-14.77,-4.72,158.25,15.65,16,14,1
MANAPPURAM.NS,Jun-26,16.07,34.13,44.44,343.18,0,0,2
MANIPALHOS.NS,Sep-25,0,0,0,0,27,0,0
MANKIND.NS,Jun-26,17.08,12.91,2.68,28.99,26,24,3
MANORAMA.NS,Jun-26,3.32,39.31,51.92,68.09,26,26,4
MANYAVAR.NS,Sep-24,11.67,22.94,8.06,36.73,46,43,1
MAPMYINDIA.NS,Jun-26,-3.45,14.75,-1.96,8.7,40,45,2
MARICO.NS,Jun-26,19.87,22.85,59.8,27.1,21,20,3
MARKSANS.NS,Jun-26,-1.75,35.65,6.71,174.14,25,16,4
MARUTI.NS,Jun-26,0.02,35.92,-5.79,-9.1,8,12,0
MASTEK.NS,Jun-26,5.01,7.65,0,15.22,15,15,3
MAXHEALTH.NS,Jun-26,10.41,16.67,-5.56,4.87,25,26,6
MAZDOCK.NS,Jun-26,-23.56,12.07,-18.4,21.68,15,11,4
MBEL.NS,Jun-26,-20.05,22.27,-18.52,22.22,11,12,1
MCX.NS,Jun-26,-21.03,88.2,-22.08,103.45,70,65,9
MEDANTA.NS,Jun-26,12.51,26.48,10.56,-1.26,22,24,0
MEDPLUS.NS,Jun-26,0.86,21.84,-48.44,-21.43,7,8,0
MEESHO.NS,Jun-26,5.15,48.28,19.88,53.98,-6,-11,2
MEIL.NS,Jun-26,-29.87,40.34,-41.02,101.61,8.85,11.12,1
METROPOLIS.NS,Jun-26,5.88,16.58,11.76,26.67,25,23,5
MFSL.NS,Jun-26,38.59,16.75,468.75,37.21,1.1,0.9,1
MGL.NS,Jun-26,15.64,13.92,48.46,-39.5,14,24,0
MIDHANI.NS,Jun-26,-56.78,40.59,-79.49,23.08,15,20,3
MIDWESTLTD.NS,Jun-26,-11.11,35.21,-16.22,29.17,25,27,1
MINDACORP.NS,Jun-26,8.33,33.19,66.13,216.92,11,11,5
MINDSPACE.NS,Jun-26,6.29,27.84,30.14,62.87,75,74,3
MMTC.NS,Jun-26,0,0,-17.46,136.36,-2969,-1699,5
MOIL.NS,Dec-20,-12.7,4.69,628.57,-7.27,28,22,0
MOTHERSON.NS,Jun-26,2.73,16.66,-31.11,77.56,9,8,3
MOTILALOFS.NS,Jun-26,28.03,25.17,681.74,9.54,57,63,1
MPHASIS.NS,Jun-26,3.32,17.47,-3.92,10.86,18,19,9
MRF.NS,Jun-26,4.62,9.64,-29.49,-1.39,12,14,0
MRPL.NS,Jun-26,59.72,120.41,708.55,449.08,3.4,1,1
MSTCLTD.NS,Jun-26,-21.01,22.08,-24.68,38.1,61,56,2
MSUMI.NS,Jun-26,2.16,36.61,-13.17,1.4,8,10,4
MTARTECH.NS,Jun-26,17.97,129.94,13.64,354.55,24,18,3
MUTHOOTFIN.NS,Jun-26,-6.64,34.45,-16.84,43.11,0,0,9
NAM-INDIA.NS,Jun-26,3.79,26.36,30.91,27.27,66,64,3
NATCOPHARM.NS,Jun-26,-0.54,-44.7,-23.42,-57.08,25,43,0
NATIONALUM.NS,Jun-26,5.77,39.27,16.32,90.94,51,39,1
NAUKRI.NS,Jun-26,1.38,11.38,-35.19,42.86,39,33,7
NAVA.NS,Jun-26,6.04,1.59,144.85,-16.54,43,49,0
NAVINFLUOR.NS,Jun-26,11.41,44.14,14.08,107.69,34,29,7
NAZARA.NS,Jun-26,7.79,-14.03,-246.43,-260.78,-9,4.7,0
NBCC.NS,Jun-26,-50.44,-5.48,-37.8,17.04,7,4.6,9
NCC.NS,Jun-26,-6.75,12.22,5.53,11.71,9,9,1
NEOGEN.NS,Jun-26,1.21,33.69,54.55,70,19,17,2
NEPHROPLUS.NS,Jun-26,6.02,23.68,6.67,33.33,21,21,3
NESCO.NS,Jun-26,-15.87,9.84,7.53,4.17,48,57,2
NESTLEIND.NS,Jun-26,-5.48,25.16,-13.68,48.22,24,21,3
NETWEB.NS,Jun-26,5.94,172.43,19.72,183.33,15,15,9
NETWORK18.NS,Jun-26,-16.23,10.26,-26.67,-125.5,1.4,0.9,0
NEULANDLAB.NS,Jun-26,-17.27,119.11,-30.52,957.14,35,12,2
NEWGEN.NS,Jun-26,-21.19,11.21,-40.57,26,16,14,1
NFL.NS,Jun-26,3.52,27.33,-25.66,389.74,6,2.3,3
NH.NS,Jun-26,3.47,78.1,-7.59,5.08,17,22,2
NHPC.NS,Jun-26,35.23,18.48,-23.95,4.16,62,56,2
NIACL.NS,Jun-26,-5.13,1.54,-141.21,-159.45,-1.7,1.6,0
NIVABUPA.NS,Jun-26,9.77,27.9,-13.21,94.37,7,5,1
NLCINDIA.NS,Jun-26,-6.45,23.29,-70.56,-48.03,31,24,0
NMDC.NS,Jun-26,-40.1,0.83,-2.52,0.41,36,37,2
NSLNISP.NS,Jun-26,-5.59,8.83,-86.99,96.15,11,12,6
NTPC.NS,Jun-26,2.12,7.81,-35.04,12.9,32,27,3
NTPCGREEN.NS,Jun-26,21.25,62.79,54.82,38.64,89,89,1
NUVAMA.NS,Jun-26,8.43,22.53,13.75,15.91,53,54,3
NUVOCO.NS,Jun-26,-5.38,8.91,13.48,20.3,18,18,1
NXST.NS,Jun-26,4.45,10.91,1208.33,30.83,69,69,1
NYKAA.NS,Jun-26,5.06,29.1,1.27,233.33,8,7,9
OBEROIRLTY.NS,Jun-26,-25.66,31.68,-22.62,29.22,56,53,4
OFSS.NS,Jun-26,51.33,68.74,68.17,120.56,60,46,3
OIL.NS,Jun-26,34.54,57.69,66.13,96.73,46,30,2
OLAELEC.NS,Jun-26,71.7,-45.05,32.8,21.5,-36,-29,4
OLECTRA.NS,Jun-26,-10.7,65.99,-52.63,3.85,12,14,2
