Symbol,Latest Quarter,Sales QoQ %,Sales YoY %,Profit QoQ %,Profit YoY %,OPM Latest %,OPM Prev Year %,Profit Growth Streak (Qtrs)
TRAVELFOOD.NS,Jun-26,-1.95,20.53,4.88,35.79,36,39,3
TRENT.NS,Jun-26,14.46,17.86,25.42,21.88,19,17,5
TRIDENT.NS,Jun-26,9.43,4.69,54.9,12.86,17,17,1
TRITURBINE.NS,Jun-26,-34.85,19.41,-50,-20.31,12,20,0
TRIVENI.NS,Jun-26,12.24,2.11,-97.82,73.81,3.36,2.38,1
TRUALT.NS,Jun-26,5.2,106.25,-14.49,1080,21,14,1
TSFINV.NS,Jun-26,2.68,70.95,-23.78,-20.89,23,26,0
TTML.NS,Mar-10,3.16,20.82,37.86,-64.1,26,25,0
TURTLEMINT.NS,Jun-26,-17.65,16.67,-1366.67,2.56,-11,-15,1
TVSMOTOR.NS,Jun-26,8.26,33.46,29.02,64.54,14,15,9
TVSSCS.NS,Jun-26,9.99,28.67,22.22,-69.01,7,7,0
UBL.NS,Jun-26,36.31,7.09,62.75,-9.78,9,11,0
UCOBANK.NS,Mar-25,8.44,15.1,4.06,23.79,0,0,4
UJJIVANSFB.NS,Jun-26,7.83,25.08,12.41,207.77,0,0,3
ULTRACEMCO.NS,Jun-26,-4.46,15.85,-13.2,17.24,20,21,6
UNIONBANK.NS,Jun-26,2.82,1.21,2.51,27.42,0,0,3
UNITDSPR.NS,Jun-26,-11.33,-10.36,-14.1,11.03,16,21,4
UNOMINDA.NS,Jun-26,4.14,23.79,-10.23,2.27,10,12,5
UPL.NS,Jun-26,-44.47,10.47,-105.64,58.52,13,15,2
URBANCO.NS,Jun-26,23.94,43.87,42.86,-1414.29,-18,-3.6,0
USHAMART.NS,Jun-26,5.52,16.46,-4.05,40.59,20,16,4
UTIAMC.NS,Jun-26,49.74,6.76,676.47,15.75,66,62,1
UTLSOLAR.NS,Jun-26,49.39,0,-45.28,0,19,0,0
V2RETAIL.NS,Jun-26,25.09,57.75,133.33,68,14,14,9
VAIBHAVGBL.NS,Jun-26,-1.93,12.65,-38.46,47.37,11,8,7
VARROC.NS,Jun-26,11.23,29.88,11.43,-27.1,8,10,0
VBL.NS,Jun-26,28.55,20.44,73.49,15.09,28,28,9
VEDL.NS,Jun-26,-1.64,53.64,-15.33,77.65,35,27,3
VGUARD.NS,Jun-26,3.19,23.53,16.07,75.68,11,8,2
VIDYAWIRES.NS,Jun-26,-8.18,33.5,-15,41.67,4,4.5,4
VIJAYA.NS,Jun-26,5.48,22.87,10.42,35.9,43,39,9
VIKRAMSOLR.NS,Jun-26,7.57,37.83,-81.82,-84.96,8,21,0
VIKRAN.NS,Jun-26,-78.13,-60.15,-92.88,-89.43,7.97,19.09,0
VIPIND.NS,Jun-26,32.57,3.03,58.14,-315.38,-1.9,4.4,0
VIYASH.NS,Jun-26,2.83,19.44,19.7,113.51,19,15,9
VMART.NS,Jun-26,12.15,23.05,327.27,38.24,15,14,1
VMM.NS,Jun-26,19.69,18.69,54.17,25.73,15,15,7
VMSTMT.NS,Jun-26,2.76,16.72,95.2,-47.9,4.87,9.18,0
VOLTAMP.NS,Jun-26,-11.83,28.3,89.58,13.75,15,17,1
VOLTAS.NS,Jun-26,-4.38,18.66,88.5,51.06,4.9,3.9,1
VTL.NS,Jun-26,8.21,13.29,66.67,51.44,18,14,1
WAAREEENER.NS,Jun-26,-6.46,79.21,-20.78,15.39,18,23,9
WAAREERTL.NS,Jun-26,-16.15,53.23,-23.72,38.37,19,19,6
WABAG.NS,Jun-26,-37.27,20.84,-29.69,36.36,9,13,9
WAKEFIT.NS,Jun-26,17.73,16.71,-81.15,15,14,13,3
WEBELSOLAR.NS,Jun-26,-6.98,70.32,-37.1,16.42,34,47,3
WELCORP.NS,Jun-26,-5.38,14.93,182.48,200.29,17,15,1
WELENT.NS,Jun-26,-35.45,-8.4,-65.64,-44.55,19,21,0
WELSPUNLIV.NS,Jun-26,14.78,23.62,53.77,83.15,11,10,1
WESTLIFE.NS,Jun-26,12.25,11.86,-75.21,-52.03,12.63,12.97,0
WEWORK.NS,Jun-26,-1.76,27.74,-106.16,71.29,64.05,62.66,3
WHIRLPOOL.NS,Jun-26,25.03,12.13,28.75,-29.45,5,9,0
WIPRO.NS,Jun-26,1,10.59,-4.71,0.6,19,19,1
WOCKPHARMA.NS,Jun-26,-3.73,25.88,-34.76,199.07,21,10,4
XTRANET.NS,Jun-26,-68.65,0,-75.06,0,20.57,0,0
YATHARTH.NS,Jun-26,14.91,52.33,0,7.14,23,25,9
YESBANK.NS,Jun-26,5.12,5.9,-0.92,32.51,0,0,9
ZAGGLE.NS,Jun-26,-31.55,27.41,-56.1,-30.77,7,9,0
ZEEL.NS,Jun-26,-5.83,4.49,171.15,-48.61,5,13,0
ZENSARTECH.NS,Jun-26,4,8.88,-12.8,1.1,15,15,6
ZENTEC.NS,Jun-26,-20.22,-10.13,-31.91,-39.62,27,41,0
ZFCVINDIA.NS,Jun-26,-7.71,9.22,-28.77,-14.75,13,13,0
ZYDUSLIFE.NS,Jun-26,5.67,21.95,-26.17,-34.91,24,32,0
ZYDUSWELL.NS,Jun-26,-3.23,66.9,-26.54,-7.03,17,18,0
