Symbol,Name,PE Ratio,Sector PE,PB Ratio,Sector PB,PEG Ratio,EV/EBITDA,ROA %,ROE %,ROCE %,ROE 3Y Avg %,ROCE 3Y Avg %,Net Profit (Cr),Net Profit Prev (Cr),Debt/Equity,Interest Coverage,Net Profit Margin %,EPS Current,EPS Last Year,EPS Growth 3Y %,Sales Growth 1Y %,Sales Growth 3Y %,Profit Growth 1Y %,Profit Growth 3Y %,Free Cash Flow (Cr),Dividend Yield %,Dividend Payout %,Promoter Holding %,Pledge %,FII Change %,DII Change %
NETWEB.NS,Netweb Technol.,118.47,24.61,42.67,3.01,1.86,79.04,13.08,32.84,37.5,29.05,36.13,205.82,114.48,0.39,15.86,9.43,45.87,36.15,57.69,107.7,69.93,102.07,63.67,161.02,0.06,8.3,66.98,0,-0.02,1.23
NETWORK18.NS,Netwrk.18 Media,0,41.35,0.96,1.44,0,23.49,0.43,0.76,3.02,-2.19,1.13,155.2,-1776.67,0.67,1,1.76,-0.22,0.99,31.92,-48.53,-30.15,98.67,34.54,-76.79,0,0,56.89,0,-1.96,-0.01
NEULANDLAB.NS,Neuland Labs.,60.73,32.56,16.13,3.99,2.02,38.02,14.13,21.25,26.47,19.69,26.13,364,260.11,0.16,26.41,17.85,387.97,283.71,30.05,78.33,19.31,277.69,30.05,-49.52,0.14,12.05,32.62,2.29,0.62,0.68
NEWGEN.NS,Newgen Software,21.91,21.41,4.22,3.34,0.98,14.55,14.38,19.59,25.01,21.37,26.53,300.58,315.24,0.02,88.81,20.5,22.06,21.12,21.77,7.88,17.36,8.01,22.44,223.17,1.14,28.18,53.45,0,-0.7,-0.7
NFL.NS,Natl.Fertilizer,9.46,14.2,1.21,1.83,-0.42,6.34,2.01,7.61,9.09,6.59,7.79,211.49,183.98,1.4,2.64,0.98,7.43,4.31,-22.72,23.27,-10.08,137.75,-22.72,-1564.44,1.48,0,74.71,0,-0.16,-0.61
NH.NS,Narayana Hrudaya,42.73,46.44,8.1,6.28,3.59,21.87,8.49,20.54,15.5,24.52,20.89,805.98,790.64,1.29,4.68,10.62,39.94,39.42,11.91,59.61,20.39,8.93,11.91,752.68,0.25,11.42,63.27,0,-0.58,-0.09
NHPC.NS,NHPC Ltd,20.25,22.91,1.85,1.84,-18.75,16.02,3.8,9.32,5.75,8.79,7.01,4220.46,3411.73,1.26,3.22,36.45,3.78,3.75,-1.08,12.02,3.07,24.48,-1.08,-8273.75,2.11,42.95,61.39,0,1.95,3.76
NIACL.NS,New India Assura,39.18,39.62,0,4.77,0.4,45.47,1.29,4.92,4.29,4.24,4.37,1416.81,1038.2,0,0,2.86,4.67,8.57,98.65,11.34,6.66,-35.77,98.65,-4596.69,0.82,17.5,85.44,0,0.01,0
NIVABUPA.NS,Niva Bupa Health,87.87,39.62,0,4.77,0.69,63.38,1.24,3.46,3.15,5.2,4.85,130.78,213.52,0,0,1.95,0.94,0.71,0,27.91,32.88,-42.64,127.48,856.63,0,0,55.3,0,1.49,-0.32
NLCINDIA.NS,NLC India,11.69,22.91,1.75,1.84,0.75,8.34,6.12,17.5,10.45,13.33,9.16,3769.46,2713.61,1.3,4.01,21.55,23.14,25.4,15.67,16.85,2.66,12.22,15.67,-2474.24,1.32,15.16,69.47,0,1.01,-1.03
NMDC.NS,NMDC,9.91,15.46,2.17,2.17,0.59,6.39,16.68,23.37,27.58,23.61,29.36,7450.19,6520.08,0.19,89.17,23.23,8.48,8.47,16.81,27.34,21.99,14.07,16.81,1825.5,2.98,41.3,60.79,0,-0.01,0.04
NSLNISP.NS,NMDC Steel,138.42,17.52,0.88,1.65,0,9.51,0.21,0.45,3.06,-8.86,-6.2,58.72,-2373.78,0.35,1.24,0.43,0.29,0.2,0,41.57,0,104.65,0,1524.87,0,0,60.79,0,0.63,-0.07
NTPC.NS,NTPC,11.85,22.91,1.61,1.84,0.6,9.86,5.5,15.09,8.92,14.14,10.07,27545.76,23953.15,1.33,2.9,15.88,28.63,27.9,19.86,2.35,2.07,15.88,19.86,6894.94,2.67,32.26,51.1,0,-0.24,0.31
NTPCGREEN.NS,NTPC Green Ene.,127.67,22.91,4.08,1.84,2.83,36.06,0.99,2.79,3.56,3.66,5.34,521.35,474.12,1.67,1.76,18.24,0.72,0.62,19.57,42.12,156.34,8.9,45.06,-12831.87,0,0,89.01,0,0.06,0.14
NUVAMA.NS,Nuvama Wealth,29.32,19.23,7.63,2.09,0.58,8.23,3.31,27.36,17.49,27.71,18.15,1040.26,985.07,2.8,2.4,22.46,59.59,57.19,0,12.8,27.71,5.22,50.6,-3041.27,1.61,24.48,53.98,62.8,2.06,0.19
NUVOCO.NS,Nuvoco Vistas,27.65,32.39,1.23,1.89,-9.44,8.49,1.99,4.17,6.99,2,5.45,359.77,21.84,0.53,2.92,3.37,10.81,10.06,-2.93,9.45,2.31,172.73,-2.93,775.48,0,0,72.02,0,-0.17,-0.35
NXST.NS,Nexus Select,57.8,69.97,1.93,1.93,0.14,16.92,1.79,2.69,5.83,3.76,6.44,403.47,482.81,0.47,2.71,14.3,2.91,2.66,0,12.33,0,-4.84,401.94,1301.84,1.45,295.19,0,77.38,0,0
NYKAA.NS,FSN E-Commerce,355.27,51.16,65.78,5.58,2.92,108.46,4.98,15.29,17.23,7.75,11.23,203.94,72.07,0.86,4.81,2.14,0.89,0.7,121.25,27.41,24.9,233.75,121.53,492.53,0,0,52.07,0,1.33,-1.27
OBEROIRLTY.NS,Oberoi Realty,26.31,26.83,3.86,2.45,2.86,18.36,10.18,14.55,17.28,14.28,16.75,2507.43,2225.51,0.16,17.06,40.71,72.32,68.96,9.21,29.86,12.75,28.37,9.21,746.36,0.42,11.6,67.71,0,-0.31,0.25
OFSS.NS,Oracle Fin.Serv.,30.31,30.84,13.15,2.34,2.25,20.48,26.47,32.61,45.28,30.33,41.81,2639.3,2379.6,0,629.45,34.4,392.15,303.25,13.2,28.57,10.42,41.92,13.48,2586.8,3.38,131.85,72.41,0,1.66,-0.33
OIL.NS,Oil India,9.36,66.72,1.35,2.51,-1.07,6.68,6.6,12.29,11.56,14.31,14.04,7550.67,7039.63,0.65,10.48,22.24,51.35,40.7,-8.74,19.18,-2.02,27.31,-8.74,2126.42,2.18,28.26,56.66,0,-0.39,0.7
OLAELEC.NS,Ola Electric,0,38.09,4.98,8.49,0,-24.9,-19.43,-43.16,-19.56,0,-26.6,-1833,-2276,0.82,-4.12,-81.36,-3.91,-4.16,12.35,-49.16,-5.04,26.13,-11.72,-1301,0,0,32.96,0,0.11,5.15
OLECTRA.NS,Olectra Greentec,59.75,48.12,8.63,5.1,1.52,29.28,7.58,15.59,21.05,13.16,18.79,179.52,139.21,0.31,4.39,7.76,21.62,21.62,39.36,38.43,28.46,25.9,39.36,-55.34,0.03,2.77,50.02,0,0.84,-0.1
OMNI.NS,Omnitech Engg.,68.32,32.46,10.44,4.19,1.95,32.86,8.44,17.98,17.56,21.78,18.23,79.33,43.87,0.64,4.48,15.53,9.04,6.42,-53.67,49.11,42.33,80.98,34.99,-128.9,0,0,74.19,0,0.05,-1.11
OMPOWER.NS,Om Power Transmission,13.17,16.03,0,1.86,0.15,9.98,16.27,38.19,42.7,32.54,35.48,40.02,22.08,0.35,7.9,8.91,15.01,15.01,-47.58,60.74,55.16,81.58,85.69,-29.68,0,0,69.05,0,0,0
ONESOURCE.NS,OneSource Speci.,0,32.56,3.02,3.99,0,53.88,-0.81,-1.09,0.57,-2.39,-1.92,-73.8,-17.97,0.26,0.55,-4.51,-4.24,-6.44,0,4.29,232.39,-141.74,23.91,-560.54,0,0,30.48,37.23,1.69,2.76
ONGC.NS,O N G C,6.86,66.72,0.81,2.51,9.8,4.05,6.51,11.65,14.15,12.7,14.64,49793.1,38328.61,0.47,5.71,8.23,34.59,32.93,0.7,7.11,-1.26,20.93,0.7,72219.15,5.56,22.02,58.89,0,0.04,0.01
OPTIEMUS.NS,Optiemus Infra.,68.42,48.84,6.3,6.3,4.16,35.53,3.9,9.16,10.91,11.13,13.58,66.01,63.33,0.48,5.18,3.73,8.21,7.44,15.21,20.93,14.64,10.56,16.46,-324.34,0,0,71.53,0.47,0.35,0.81
ORIENTCEM.NS,Orient Cement,12.64,32.39,1.25,1.89,0.31,5.15,11.51,17.27,16.46,11.19,13.81,337.69,91.25,0.03,23.43,12.23,10.19,16.44,40.47,-12.09,-1.67,-18.04,40.61,-69.25,0.38,3.04,72.66,0,-0.58,0.2
ORKLAINDIA.NS,Orkla India,24.66,18.98,2.74,2.88,-6.39,16.13,8.88,11.2,14.92,9.9,13.37,285.67,255.69,0.02,62.59,11.63,21.49,20.85,-56.91,5.89,4.92,8.09,-3.86,239.87,0,0,75,0,-0.12,-0.04
OSWALPUMPS.NS,Oswal Pumps,10.32,43.84,2.06,6.93,0.08,6.97,23.45,35.16,38.24,49.74,63.23,376.28,280.61,0.14,14.91,18.27,29.45,33.01,-17.27,29.03,75.02,10.44,122.59,-213.42,0,0,75.65,0,-0.75,-1.13
PACEDIGITK.NS,Pace Digitek,12.6,14.62,1.71,2.45,0.07,7.54,7.72,17.62,21.26,26.44,38.63,307.27,279.1,0.44,6.57,11.63,14.54,13.79,-21.9,14.85,73.79,8.53,173.96,-997.81,0,0,69.52,0,0.42,-0.63
PAGEIND.NS,Page Industries,50.44,24.78,26.36,2.45,4.42,32.54,28.73,54.29,64.39,47.02,56.27,763.82,729.14,0.18,22.16,15.05,677.65,684.8,11.41,7.57,3.63,2.21,11.41,687.36,1.55,80.29,42.89,0,-0.09,0.43
PARADEEP.NS,Paradeep Phosph.,14.2,14.2,2.28,1.83,0.29,9.05,7.06,18.89,17.13,13.16,12.53,996.35,551.79,1.02,3.61,4.7,11.22,9.6,36.8,28.08,17.83,13.95,48.32,-1877.96,1.01,15.63,57.86,15.33,-3.26,2.58
PARAS.NS,Paras Defence,130.91,70.68,16.69,9.24,4,82.31,9.45,12.38,17.19,10.78,14.37,89.46,61.49,0.04,24.85,18,11.72,10.93,31.32,36.61,28.92,45.66,32.76,-10.26,0.07,4.57,53.2,0,3.23,1.8
PARKHOSPS.NS,Park Medi World,42.42,46.44,5.82,6.28,8.05,23.52,11.06,16.7,19.34,18.73,19.88,273.56,213.21,0.18,8.1,16.29,6.64,5.98,-25.39,20.51,10.21,24.99,5.27,209.4,0,0,82.89,0,-0.04,0
PATANJALI.NS,Patanjali Foods,17.67,17.67,2.93,1.91,0.57,18.82,11.74,16.46,12,12.34,12.9,1814.87,1301.34,0.21,12.9,5.01,18.11,16.68,31.12,20.24,8.41,77.99,31.21,-1277.91,1.42,20.98,68.25,0,-0.67,-1.01
PATELRMART.NS,Patel Retail,18.66,37.5,2.13,5.5,0.56,10.55,7.79,15.67,15.33,19.43,16.71,39.05,25.28,0.45,6.1,3.72,12.47,11.69,-35.23,42.34,0.97,59.66,33.56,-100.78,0,0,70,0,-0.11,0.15
PAYTM.NS,One 97,126.57,74.91,6.4,3.11,3.71,63.11,3.21,4.7,5.01,-4.48,-4.54,552,-663.2,0.01,42.43,8.63,10.16,8.64,34,22.55,1.83,262.55,34.08,-1211,0,0,0,0,-1.31,1.79
PCBL.NS,PCBL Chemical,47.54,46,3.14,5.35,-2.22,14.94,1.87,5.58,7.75,10.98,11.24,198.04,434.67,1.25,1.92,2.62,6.64,5.03,-22.45,2.08,12.35,-35.62,-21.37,850.91,1.88,119.32,53.38,0,0.23,0.27
PCJEWELLER.NS,PC Jeweller,12.1,19.17,1.02,3.14,0.16,11.55,8.02,9.96,9.58,4.42,4.8,714.46,577.7,0.14,8.4,21.33,0.95,0.83,57.31,36.47,10.7,32.82,76.71,-76.99,0,0,38.5,0,1.75,-1.11
PERSISTENT.NS,Persistent Systems,44.98,21.41,11.42,3.34,1.63,28.85,19.22,27.24,34.36,25.55,31.6,1865.12,1400.16,0.06,31.3,13.07,122.17,118.23,26.26,25.39,20.88,31.04,27.58,1571.95,0.7,33.83,30.29,0,-1.32,-0.22
PETRONET.NS,Petronet LNG,10.39,15.58,1.96,1.75,1.87,5.48,14.29,18.56,22.74,20.47,24.57,3912.53,3972.68,0.11,25.03,9,28.05,26.08,5.56,-24.82,-10.12,13.45,5.56,2231.08,3.43,11.5,50,0,-0.86,0.74
PFC.NS,Power Fin.Corpn.,4.59,16.08,0.84,2.17,0.26,9.89,2.78,20.69,9.71,20.98,9.76,33625.34,30514.4,7,1.62,29.15,78.93,78.49,17.71,4.63,14.17,7.17,17.71,-4841.08,5.1,23.63,55.99,0,0.9,-0.55
PFIZER.NS,Pfizer,29.28,32.56,5.36,3.99,3.62,17.59,15.43,18.02,24.06,16.13,22.49,722.43,767.6,0.02,136.5,30.11,160.7,157.92,8.08,10.69,1.29,13.76,8.08,943.5,1.52,47.5,63.92,0,-1.16,0.91
PFOCUS.NS,Prime Focus,123.37,41.35,10.5,1.44,12.15,18.56,3.38,16.5,11.5,-14.02,5.92,301.43,-458.29,2.74,1.43,6.92,1.49,2.82,-19.8,29.17,0.23,18.87,10.15,495.41,0,0,60.73,0,-0.26,-0.09
PGEL.NS,PG Electroplast,84.02,34.44,5.64,3.41,2.32,38.16,3.55,6.69,10.31,11.09,16.13,196.57,287.8,0.2,3.54,3.72,7.21,6.89,26.3,15.15,34.78,-24.08,36.23,-716.94,0.04,3.63,43.37,0,0.2,-0.61
PGIL.NS,Pearl Global Ind,35.09,24.78,7.52,2.45,1.38,20.28,9.15,21,19.93,22.48,21.14,270.02,230.77,0.65,4.48,5.32,67.31,60.17,22.73,13.75,16.74,24.25,25.37,208.45,0.61,24.1,61.11,0,0.34,0.36
PHOENIXLTD.NS,Phoenix Mills,53.2,26.83,6.27,2.45,3.7,25.4,7.13,11.58,12.83,11,12,1556.51,1307.34,0.48,6.57,35.69,35.79,34.22,14.34,17.67,19.13,31.79,14.39,1029.49,0.13,7.31,47.25,0,-1.24,1.24
PICCADIL.NS,Piccadily Agro,49.83,47.25,7.76,2.48,0.6,29.61,9.88,17.39,18.01,20.63,23.43,137.53,102.34,0.59,7.98,13.25,14.26,13.95,80.63,28.56,20.15,30.47,83.29,-39.71,0.14,0,68.56,0,0.05,0.09
PIDILITIND.NS,Pidilite Inds.,63.79,27.92,15.6,2.82,2.59,41.81,16.91,23.92,31.02,23.31,30.2,2470.72,2096.17,0.04,67.83,17.02,26.03,24.06,24.56,14.09,7.36,20.39,24.6,2239.27,0.69,47.8,69.24,0,-0.06,0.25
PIIND.NS,P I Industries,35,21.55,3.35,2.3,-46.05,19.53,9.37,11.24,14.99,16.18,20.62,1320.8,1660.2,0.03,69.99,17.9,76.79,87.06,-0.76,-16.57,1.13,-32.97,-0.76,-632.4,0.6,17.26,46.09,0,-1.04,0.3
PINELABS.NS,Pine Labs,142.38,74.91,3.11,3.11,3.99,19.82,0.96,2.46,4.16,-2.93,-1.44,112.51,-145.49,0.07,3.43,4.24,1.19,0.98,27.25,19.59,19.27,261.55,35.7,161.05,0,0,0,0,4.69,13.01
PIRAMALFIN.NS,Piramal Finance.,107.6,13.45,1.71,1.88,-1.91,15.73,0.23,0.86,6.47,0.55,5.67,1506.14,485.45,2.84,1.04,2,74.58,66.36,98.74,17.78,21.46,-22.65,-56.33,-15949.39,0.52,16.53,46.16,0,0.82,-0.17
PNB.NS,Punjab Natl.Bank,6.17,7.54,0.87,0.98,0.08,16.45,0.95,12.99,6.13,12.42,5.99,18466.7,18552.61,11.79,1.31,14.12,19.22,16,73.95,3.41,14.62,32.86,76.45,24052.33,2.54,18.75,70.08,0,-0.46,0.01
PNBHOUSING.NS,PNB Housing,13.01,13.45,1.59,1.88,0.43,12.01,2.65,12.91,9.44,12.39,9.39,2327.88,1948.95,3.7,1.59,27.39,90.22,89.34,29.96,10.35,9.41,15.12,30.14,-9004.8,0.68,8.95,28.03,0,0.21,1.64
PNCINFRA.NS,PNC Infratech,8.86,16.03,0.79,1.86,-0.79,5.63,2.81,7,8.46,12.65,12.73,831.5,815.42,0.76,2.59,8.34,28.55,32.42,-11.27,-6.48,-12.29,50.37,-11.27,4762.53,0.29,1.85,56.07,0,0.1,-0.72
PNGJL.NS,P N Gadgil Jewe.,20,19.17,4.21,3.14,0.26,13.19,10.17,23.45,20.92,24.39,23.58,409.82,218.27,0.89,6.66,3.84,32.85,30.2,31.21,47.77,33.75,77.7,77.09,-781.89,0,0,76.62,0,4,3.16
PNGSREVA.NS,PNGS Reva Diamo.,20.72,19.17,3.4,3.14,2.68,12.8,13.72,21.01,22,0,17.17,64.66,6.59,0.33,11.63,14.73,31.71,20.4,0,580.98,30.21,881.18,7.73,-107.25,0,0,64.77,0,-0.84,-2.94
POLICYBZR.NS,PB Fintech.,110.18,74.91,11.26,3.11,2.2,84.08,8.25,9.75,10.31,5.63,5.99,670.13,353.16,0.05,21.12,9.86,16.19,14.48,49.44,38,38.49,98.75,50,-36.37,0,0,0,0,-2.65,3.7
POLYCAB.NS,Polycab India,48.21,26.95,11.44,4.81,1.75,30.24,14.91,23.05,33.21,22.56,31.37,2708.42,2045.54,0.02,15.24,8.83,190.23,177.48,27.28,32.06,26.98,29.24,27.5,2340.03,0.52,26.48,61.46,0,0.79,-0.33
POLYMED.NS,Poly Medicure,56.01,31.37,5.77,3.47,3.63,31.43,7.47,9.02,12.5,12.6,18.18,320.73,338.56,0.11,20.63,14.06,31.09,31.78,13.35,18.31,18.92,-10.5,15.45,-59.44,0.2,11.01,62.42,0,-0.36,0.48
POONAWALLA.NS,Poonawalla Fin,55.37,20.01,3.88,1.81,11.71,21.35,1.14,5.86,7.51,5.94,7.69,541.81,-98.34,4.68,1.33,8,9.39,6.67,2.77,72.47,46.11,340.37,4.73,-21886.95,0,0,59.02,0,0.75,4.6
POWERGRID.NS,Power Grid Corpn,15.56,25.45,2.45,2.05,-9.05,10.71,5.26,15.26,9.1,16.73,11.58,15927.95,15521.44,1.47,2.7,31.54,17.09,17.13,-1.72,2.29,0.84,3.03,-1.72,3687.22,3.4,52.55,51.34,0,-0.69,0.57
POWERICA.NS,Powerica Ltd,24.06,33.08,0,5.51,0.67,14.35,8.74,17.38,15.69,17.47,21.49,277.31,166.82,0.29,15.23,9.21,24.47,21.12,-11.84,13.5,8.19,70.78,35.98,-121.23,0,0,77.18,0,-2.71,1.21
POWERINDIA.NS,Hitachi Energy,126.33,33.08,28.86,5.51,1.04,85.42,9.96,21.91,29.36,17.98,22.22,987.84,383.98,0.02,132.11,12.62,258.09,221.63,118.14,40.17,22.17,135.8,121.83,735.31,0.02,3.61,71.31,0,0.76,-0.63
POWERMECH.NS,Power Mech Proj.,19.87,16.03,3.08,1.86,0.98,10.7,8.07,15.56,21.82,15.9,22.85,411.68,347.55,0.26,5.86,6.79,123.75,115.12,17.97,15.79,18.95,22.7,20.32,102.75,0.05,1.3,58.41,0,0.06,0.42
PPLPHARMA.NS,Piramal Pharma,0,32.56,3.53,3.99,0,25.38,-1.89,-3.83,2.52,-0.88,4.82,-325.94,91.13,0.7,1.33,-3.52,-2.36,-2.45,-30.91,0.78,7.79,-295.92,-31.46,776.02,0.06,0,34.8,0,-17.66,-1.04
PRAJIND.NS,Praj Industries,130.34,32.46,5.03,4.19,-2.32,30.88,0.64,1.48,6.12,11.74,17.77,23.85,218.93,0.13,5.64,0.63,1.64,1.3,-56.17,2.35,-3.53,-63.93,-56.16,156.65,1,277.55,32.81,0,0.01,1.41
PREMIERENE.NS,Premier Energies,28.19,27.7,10.94,3.97,0.08,17.68,17.07,42.35,33.32,45.8,33.22,1509.69,937.13,0.86,14.25,19.29,36.73,33.33,293.96,26.7,76.27,59.07,369.81,-1735.55,0.1,0.75,58.48,0,2.2,4.28
PRESTIGE.NS,Prestige Estates,60.22,26.83,4.2,2.45,3.3,20.1,1.99,7.53,10.38,6.2,9.7,1305.4,616.9,1.09,2.01,10.27,26.44,27.76,15.47,67.46,15.12,115.95,18.27,349,0.13,7.21,60.95,0,-0.93,0.91
PRICOLLTD.NS,Pricol Ltd,36.58,30.3,7.81,3.42,1.29,19.86,11.21,21.84,24.5,19.53,23.46,250.8,167.03,0.3,12.31,6.14,21.98,20.58,28.41,43.26,27.3,56.36,28.41,-38.25,0.25,0,38.51,0,-1.66,-0.65
PRIVISCL.NS,Privi Speci.,38.56,27.92,9.55,2.82,0.27,20.87,10.62,26.01,22.3,19.21,16.84,316.72,184.75,0.72,7.29,12.34,89.47,83.77,143.66,21.63,16.83,60.8,143.66,230.08,0.29,11.93,60.6,0,0.57,-0.6
PRSMJOHNSN.NS,Prism Johnson,47.1,32.39,3.62,1.89,9.04,8.3,-1.7,-5.41,5.92,-4.4,4.24,30.01,45.11,1.1,1.68,-1.68,3.47,1.45,5.21,4.76,0.09,10524.12,5.21,320.68,0,0,74.87,0,-0.81,0.41
PRUDENT.NS,Prudent Corp.,56.84,56.84,15.78,15.78,2.38,37.88,20.49,28.65,37.48,31.52,41.61,222.05,195.65,0.04,58.24,16.56,59.18,53.63,23.91,19.45,29.51,20.57,23.91,208.61,0.1,6.53,55.31,0,-0.61,0.37
PSB.NS,Pun. & Sind Bank,12,7.54,1.13,0.98,46.15,17.09,0.78,9.62,5.95,6.74,5.84,1321.93,1015.83,11.21,1.23,11.03,1.95,1.86,-1.26,4.64,14.45,25.45,0.26,-2134.02,1.67,20.93,93.85,0,-0.01,-0.09
PTC.NS,PTC India,9.09,9.09,0.78,0.78,0.79,2.33,5.64,10.33,13.37,10.74,11.51,717.44,976.24,0.3,3.93,4.3,17.18,20.46,11.44,13.26,1.64,-17.35,11.44,2812.97,14.65,41.54,16.22,0,1.42,1.43
PTCIL.NS,PTC Industries,233.53,27.73,19.52,4.16,4.03,142.19,5.74,7.02,8.43,6.99,8.93,101.56,61.02,0.17,15.6,16.85,83.78,67.74,52.07,94.62,40.09,102.53,57.94,-385.96,0,0,59.72,0.07,0,0.14
PURVA.NS,Puravankara,31.92,26.83,2.87,2.45,11.65,9.88,0.36,3.62,11.24,-1.37,9.06,56.75,-182.92,3.13,1.28,1.52,6.76,2.69,2.74,116.21,44.65,160.86,2.74,286.55,0,0,75,0,-0.11,0.04
PVRINOX.NS,PVR Inox,37.74,49.59,1.62,5.31,0.96,7.58,1.48,3.28,6.96,-0.53,4.79,332.8,-280.9,0.92,1.58,3.54,45.27,34.02,39.24,13.68,21.01,321.24,39.27,1906.1,0,0,27.53,10.89,0.22,-0.71
PWL.NS,Physicswallah,578.5,29.8,7.71,2.71,25.28,52.28,-0.23,-0.48,4.02,0,-56.89,-24.17,-243.26,0.23,2.38,-0.34,0.15,-0.08,25.93,32.53,73.68,124.98,22.88,494.25,0,0,71.27,0,0.45,-0.34
QPOWER.NS,Quality Power El,77.54,33.08,19.07,5.51,0.96,40.1,19.31,25.11,31.53,24.58,29.86,185.55,100.15,0.07,34.27,19.59,17.21,15.67,-95.14,121.98,55.23,89.95,80.81,-30.68,0.07,6.39,73.91,0,1.09,0.48
QUESS.NS,Quess Corp,19.55,19.55,4.33,2.09,2.19,13.63,8.23,21.33,24,13.53,13.75,222.2,45.89,0.11,6.02,1.57,16.92,14.84,8.63,5.35,-3.74,22.25,8.91,221.49,2.37,74.12,56.82,0,0.27,-0.54
RADICO.NS,Radico Khaitan,88.89,47.25,18.96,2.48,2.17,54.69,12.73,20.26,24.15,15.37,17.74,604.48,345.61,0.15,16.82,10.18,52.54,45.14,40.96,19.3,24.43,75.94,41.04,504.18,0.19,19.94,40.19,0,0.57,0.73
RAILTEL.NS,Railtel Corpn.,24.35,16.66,3.98,1.35,1,11.97,6.62,17.08,22.85,16.32,21.65,346.32,299.81,0.03,120.27,8.51,10.78,10.79,24.24,20.85,29.77,16.17,24.24,44.09,1.16,30.12,72.84,0,0.26,0
RAIN.NS,Rain Industries,12.83,14.35,0.86,1.28,-0.19,5.44,0.68,0.6,8.26,-6.68,4.89,135.89,-449.94,1.35,2.06,0.8,15.97,1.26,-69.07,17.02,-6.92,228.66,-69.07,440.53,0.49,79.1,41.35,0,-0.04,0.52
RAINBOW.NS,Rainbow Child.,51.56,46.44,8.96,6.28,9.26,25.55,9.73,15.9,17.35,17.07,18.37,281.54,244.22,0.54,5.61,14.72,28.1,27.4,5.55,18.3,13.22,11.29,5.57,204.49,0.24,12.77,49.84,0,-1.21,1.44
RALLIS.NS,Rallis India,18.11,21.55,2.03,2.3,0.61,9.46,6.38,10.22,14.14,8.41,11.82,183.88,125.13,0.03,40.13,6.96,11,9.46,29.9,4.41,-0.8,33.45,29.9,143.02,1.41,31.73,55.08,0,-2.43,0.4
RAMBHAJO.NS,Advit Jewels,21.73,19.17,0,3.14,0.44,17.64,22,45.62,32.14,50.91,39.72,34.39,25.37,0.79,7.45,20.58,10.74,10.74,-89.89,33.69,53.04,35.51,49.02,8.28,0,0,69.88,0,0,0
RAMCOCEM.NS,The Ramco Cement,112.62,32.39,2.65,1.89,-2.07,18.1,0.18,0.38,6.13,1.93,6.33,698.79,269.57,0.48,1.56,0.33,27.29,29.57,-54.44,8.58,3.44,38.18,-54.44,1215.52,0.28,8.46,42.55,3.43,-0.52,0.58
RATEGAIN.NS,Rategain Travel,42.79,21.41,5.56,3.34,0.88,23.78,8.1,11.99,13.67,12.79,16.14,194.39,208.93,0.47,8.24,12.12,20.5,16.45,44.32,114.36,47.77,24.18,48.56,229.58,0,0,48.78,0,0.4,0
RATNAMANI.NS,Ratnamani Metals,36.76,22.43,3.9,1.93,-26.07,19.47,10.54,12.63,17.91,16.3,22.38,534.46,541.57,0.08,26.59,12.06,61.76,68.85,-1.41,-16.31,0.15,-23.11,-1.41,452.21,0.44,14.53,59.77,0,0.12,-0.32
RAYMONDLSL.NS,Raymond Lifestyl,29.87,18.76,0.46,1.77,0,7.73,0.79,1.14,3.52,9.78,3.22,46.17,38.19,0.23,1.78,1.6,7.12,7.58,0,9.18,0,62.84,0,366.14,0.14,13.19,59.61,23.74,-1.37,0.6
RBA.NS,Restaurant Brand,0,88.27,8.5,10.17,0,23.38,-5.9,-22.72,-0.47,-26.82,-2.72,-204.13,-232.79,2.73,0.01,-7.16,-2.89,-3.21,8.83,13.29,11.17,17.88,5.14,-69.55,0,0,9.22,0,-1.34,-5.98
RBLBANK.NS,RBL Bank,69.52,14.1,1.46,1.33,-29.84,21.81,0.5,5.11,5.77,5.9,6.01,822.44,695.37,9.38,1.13,5.74,11.73,13.31,-3.32,5.37,14,67.08,-2.33,7354.23,0.25,7.52,60,0,-11.46,-26.05
RCF.NS,R C F,15.7,14.2,1.28,1.83,-0.66,8.71,2.83,8.02,10.23,5.8,7.96,427.45,242.45,0.81,2.92,2.14,8.09,7.75,-23.89,17.52,-4.85,46.82,-23.89,-1544.53,0.84,17.29,75,0,-0.17,-0.09
RECLTD.NS,REC Ltd,5.38,16.08,1.02,2.17,0.4,10.63,2.6,20.12,9.71,21.22,9.91,16308.17,15884.23,6.1,1.57,27.41,60.9,61.93,13.5,2.03,14.7,-4.97,13.5,5947.74,5.65,29.95,52.63,0,-0.03,0.62
REDINGTON.NS,Redington,15.13,22.62,2.68,2.24,3.28,10.66,4.51,16.86,18.39,15.02,18.91,1284.15,1820.62,0.28,7.05,1.16,21.76,19.06,4.61,23.2,14.5,41.53,4.61,124.96,1.72,31.48,0,0,0.47,-0.75
REDTAPE.NS,Redtape,27.81,41.54,6.71,3.46,1.44,15.35,10.65,26.65,24.48,26.81,25.14,240.55,170,0.7,6.07,9.97,4.46,4.35,19.3,18.98,18.1,38.47,19.3,89.35,1.61,45.96,71.83,0,-0.6,0.73
REFEX.NS,Refex Industries,14.13,21.78,2.68,2.67,0.51,8.5,10.44,17.81,22.71,19.11,23.89,203.72,158.39,0.15,11.16,10.65,18.1,14.82,18.81,37.9,11.8,56.27,27.7,46.68,0.51,6.75,56.57,43.51,-0.44,0.25
