Symbol,Name,PE Ratio,Sector PE,PB Ratio,Sector PB,PEG Ratio,EV/EBITDA,ROA %,ROE %,ROCE %,ROE 3Y Avg %,ROCE 3Y Avg %,Net Profit (Cr),Net Profit Prev (Cr),Debt/Equity,Interest Coverage,Net Profit Margin %,EPS Current,EPS Last Year,EPS Growth 3Y %,Sales Growth 1Y %,Sales Growth 3Y %,Profit Growth 1Y %,Profit Growth 3Y %,Free Cash Flow (Cr),Dividend Yield %,Dividend Payout %,Promoter Holding %,Pledge %,FII Change %,DII Change %
JINDALSAW.NS,Jindal Saw,26.37,22.43,1.37,1.93,1.84,10.47,4.43,8.2,10.43,13.89,17.04,925.32,1458.05,0.37,2.52,5.23,10.22,15.22,14.34,-8.57,0.05,-62.04,14.34,706.2,0.74,13.14,63.25,0,-0.38,2.57
JINDALSTEL.NS,Jindal Steel,37.03,17.52,2.24,1.65,48.09,13.81,4.39,8.22,9.7,9.84,11.18,3360.87,2845.68,0.44,3.53,7.53,26.65,33.01,0.77,16.45,0.15,-19.17,0.77,-2343.02,0.18,6.04,62.71,9.92,-0.35,0.38
JIOFIN.NS,Jio Financial,78.3,25.28,1.16,0.81,0.27,50.56,1.03,1.19,1.86,1.23,1.62,1560.9,1612.59,0.16,3.31,43.38,3.2,2.46,0,119.23,328.21,28.96,293.11,-15438.64,0.25,24.42,49.13,0,-1.04,-0.99
JKCEMENT.NS,J K Cements,41.63,32.39,5.78,1.89,1.25,18.46,5.8,15.61,15.1,15.13,14.96,987.99,872.17,0.88,4.28,7.43,122.37,128.45,33.36,15.92,12.18,6.47,33.36,-375.51,0.38,15.57,45.66,0,-0.01,-0.03
JKLAKSHMI.NS,JK Lakshmi Cem.,18.05,32.39,1.78,1.89,3.92,8.55,4.69,10.69,12,11.46,13.16,412.61,275.95,0.67,3.45,5.89,29.8,33.19,2.76,8.74,1.58,3.84,4.61,407.04,1.17,19.59,45.12,0,-3.32,3.57
JKPAPER.NS,JK Paper,21.63,18.07,1.28,0.91,-0.54,9.13,2.68,4.77,7.39,10.92,12.09,273.5,409.77,0.47,3.28,3.78,17.9,14.66,-41.17,10,3.21,-4.09,-39.82,282.16,1.03,27.28,52.94,0,-0.2,0.12
JKTYRE.NS,JK Tyre & Indust,14.96,23.07,1.78,2.25,0.34,7.94,5.82,15.99,15.51,15.69,15.86,775.9,509.31,0.81,3.51,5.41,23.19,26.92,36.57,9.93,3.69,56.01,43.94,37.92,1.07,14.86,51.72,0,-2.84,-0.19
JLHL.NS,Jupiter Life Lin,54.36,46.44,6.74,6.28,1.48,28.41,8.86,13.06,14.8,15.99,18.44,194.19,193.75,0.38,7.82,12.64,5.72,5.92,30.15,14.76,18.89,-0.87,36.74,-233.87,0.06,3.38,40.91,0,0.89,-0.5
JMFINANCIL.NS,JM Financial,11.69,14.36,1.16,1.64,0.44,7.51,4.8,11.94,11.63,8.99,10.38,1201.04,773.59,1.09,2.47,28.8,10.87,12.57,26.73,-5.25,8.65,-4.38,26.8,526.12,2.52,25.86,57.03,0,-0.21,-0.38
JNPR.NS,Juniper Green,1067.18,22.91,0,1.84,23.05,38.57,0.1,0.43,3.3,1.07,4.71,40.46,36.48,4.02,1.09,2.03,0.83,0.83,26.66,41.33,29.46,-46.37,46.29,-6161.88,0,0,85.94,0,0,0
