Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,1Y CAGR %,3Y CAGR %,52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,Days Since 52W High,Drawdown Status,SD 1Y %,ATR % (14D),Vol Ratio (20D/60D),Vol Trend,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,EMA Cross,Days Since EMA Cross,Beta vs Nifty,Correlation vs Nifty (1Y),Up Capture Ratio,Down Capture Ratio,Capture Ratio,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Market Regime,PE Ratio,PB Ratio,Dividend Yield %,Index,Category,Momentum Rank 1M,Momentum Rank 3M,Momentum Rank 6M
1971.1,-0.18,1833.08,1776.22,75.57,Bullish,Bullish,12.86,11.53,,,,,1974.6,1632.57,-0.18,20.74,-7.53,2,At High,17.08,1.22,1.01,Stable,,9.02,,Golden Cross,57,0.79,0.84,97.8,63.1,1.55,8.33,9.7,,Bull,53.82,2.71,3.16,Nifty Reits & Realty,Sectoral,4,12,
54090.85,-0.32,52594.71,51096.6,57.19,Bearish,Bullish,6.58,10.94,6.77,0.88,0.88,20.45,54795.25,44487.95,-1.29,21.59,-17.04,15,At High,19.02,1.37,0.8,Falling,7.0,2.93,0.36,Golden Cross,42,1.23,0.84,120.4,110.8,1.09,2.05,9.11,14.81,Strong Bull,24.81,5.1,0.77,Nifty Alpha 50,Strategy,17,14,11
20122.3,-0.14,19989.66,20245.71,53.83,Bullish,Bullish,2.87,2.81,-6.63,-2.42,-2.42,15.75,21595.85,18543.9,-6.82,8.51,-14.13,134,Correcting,11.78,0.9,0.79,Falling,7.0,1.93,-0.56,Death Cross,87,0.83,0.92,86.5,84.8,1.02,-1.66,0.98,1.42,Strong Bear,16.78,3.12,1.64,Nifty Alpha Quality Value Low-Volatility 30,Strategy,44,40,45
5838.05,0.88,5859.65,6016.53,52.6,Bullish,Bearish,2.53,-3.36,-9.01,-4.23,-4.23,11.57,6470.9,5644.3,-9.78,3.43,-12.77,117,Correcting,13.12,1.23,1.05,Stable,7.0,3.65,-0.69,Death Cross,79,0.88,0.88,91.6,91.3,1.0,-2.0,-5.19,-0.97,Strong Bear,13.01,2.55,2.4,Nifty Dividend Opportunities 50,Strategy,45,51,48
4479.9,0.39,4225.16,3960.74,63.77,Bullish,Bullish,10.04,19.31,10.88,16.06,16.06,22.36,4479.9,3317.65,0.0,35.03,-18.12,0,At High,22.01,1.56,0.93,Stable,8.0,3.6,0.49,Golden Cross,57,1.42,0.84,149.6,119.6,1.25,5.51,17.48,18.92,Strong Bull,21.08,3.75,0.85,Nifty High Beta 50,Strategy,5,3,6
24602.6,-0.02,24279.59,24507.21,57.43,Bullish,Bullish,4.14,3.71,-4.51,-2.96,-2.96,12.51,25991.45,22582.0,-5.34,8.95,-13.12,133,Correcting,11.8,0.93,0.93,Stable,7.0,2.9,-0.38,Death Cross,85,0.85,0.94,85.5,84.1,1.02,-0.39,1.87,3.53,Bear,26.72,4.58,1.29,Nifty Low Volatility 50,Strategy,34,37,37
62882.5,-0.04,62425.62,61430.01,51.14,Bearish,Bullish,3.76,5.6,0.23,-0.93,-0.93,20.14,64796.45,54460.9,-2.95,15.46,-14.47,15,Recovering,17.93,1.35,0.83,Falling,5.0,1.89,0.01,Golden Cross,43,1.21,0.88,117.5,110.7,1.06,-0.77,3.77,8.28,Strong Bull,29.17,5.74,0.49,Nifty Midcap150 Momentum 50,Strategy,37,29,22
24154.15,0.06,23742.55,23546.6,55.43,Bearish,Bullish,4.32,8.41,-0.28,-3.04,-3.04,11.92,25111.1,20728.25,-3.81,16.53,-17.45,255,Correcting,15.69,1.17,0.88,Stable,7.0,1.52,-0.02,Golden Cross,17,1.05,0.87,106.2,103.8,1.02,-0.21,6.57,7.76,Bull,32.44,7.51,1.02,Nifty Midcap150 Quality 50,Strategy,31,18,24
25500.3,0.92,24789.91,25000.38,59.85,Bullish,Bullish,6.96,8.33,-0.93,-9.16,-9.16,13.56,28681.25,21675.8,-11.09,17.64,-24.43,257,Correcting,16.8,1.36,0.88,Stable,4.0,4.18,-0.06,Death Cross,177,1.05,0.81,94.8,100.7,0.94,2.43,6.5,7.11,Strong Bear,26.18,5.07,1.18,Nifty Smallcap250 Quality 50,Strategy,13,19,25
20100.75,0.2,19747.69,19923.86,59.59,Bullish,Bullish,4.7,3.81,-5.27,-0.33,-0.33,11.99,21373.05,18308.4,-5.95,9.79,-14.34,133,Correcting,11.97,1.0,0.9,Stable,8.0,3.43,-0.44,Death Cross,83,0.87,0.95,88.6,84.0,1.05,0.17,1.98,2.78,Bull,25.24,4.24,1.37,Nifty100 Low Volatility 30,Strategy,28,36,41
