Symbol,Index Membership
POLICYBZR.NS,"Nifty 200, Nifty 500, Nifty High Beta 50, Nifty India Digital, Nifty India Internet, Nifty Midcap 150"
POLYCAB.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50, Nifty200 Quality 30"
POLYMED.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
POONAWALLA.NS,"Nifty 500, Nifty Alpha 50, Nifty Smallcap 250"
POWERGRID.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Cpse, Nifty Dividend Opportunities 50, Nifty Energy, Nifty Infrastructure, Nifty Low Volatility 50, Nifty Pse, Nifty200 Value 30"
POWERINDIA.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Energy, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
POWERMECH.NS,Nifty Microcap 250
PPLPHARMA.NS,"Nifty 500, Nifty Healthcare Index, Nifty Pharma, Nifty Smallcap 250"
PRAJIND.NS,"Nifty Microcap 250, Nifty Smallcap250 Quality 50"
PREMIERENE.NS,"Nifty 200, Nifty 500, Nifty Midcap 150"
PRESTIGE.NS,"Nifty 200, Nifty 500, Nifty High Beta 50, Nifty Midcap 150, Nifty Realty, Nifty Reits & Realty"
PRICOLLTD.NS,Nifty Microcap 250
PRIVISCL.NS,Nifty Microcap 250
PRSMJOHNSN.NS,"Nifty Cement, Nifty Microcap 250"
PRUDENT.NS,Nifty Microcap 250
PSB.NS,Nifty Psu Bank
PTC.NS,Nifty Microcap 250
PTCIL.NS,"Nifty 500, Nifty Smallcap 250"
PURVA.NS,Nifty Microcap 250
PVRINOX.NS,"Nifty 500, Nifty Media, Nifty Smallcap 250"
PWL.NS,"Nifty 500, Nifty India Digital, Nifty India Internet, Nifty Smallcap 250"
QPOWER.NS,Nifty Microcap 250
QUESS.NS,Nifty Microcap 250
RADICO.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Fmcg, Nifty Midcap 150"
RAILTEL.NS,"Nifty 500, Nifty India Digital, Nifty India Railways Psu, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
RAIN.NS,Nifty Microcap 250
RAINBOW.NS,"Nifty 500, Nifty Smallcap 250"
RALLIS.NS,Nifty Microcap 250
RAMCOCEM.NS,"Nifty 500, Nifty Cement, Nifty Housing, Nifty Smallcap 250"
RATEGAIN.NS,Nifty Microcap 250
RATNAMANI.NS,Nifty Microcap 250
RAYMONDLSL.NS,Nifty Microcap 250
RBA.NS,Nifty Microcap 250
RBLBANK.NS,"Nifty 500, Nifty Alpha 50, Nifty Housing, Nifty Private Bank, Nifty Smallcap 250"
RCF.NS,Nifty Microcap 250
RECLTD.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Dividend Opportunities 50, Nifty Financial Services, Nifty High Beta 50, Nifty Next 50, Nifty Pse, Nifty200 Value 30"
REDINGTON.NS,"Nifty 500, Nifty Alpha 50, Nifty Dividend Opportunities 50, Nifty Smallcap 250"
REDTAPE.NS,Nifty Microcap 250
REFEX.NS,Nifty Microcap 250
RELAXO.NS,Nifty Microcap 250
RELIANCE.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Commodities, Nifty Energy, Nifty Ev & New Age Automotive, Nifty India Manufacturing, Nifty Infrastructure, Nifty Low Volatility 50, Nifty Oil & Gas, Nifty100 Low Volatility 30"
RELIGARE.NS,Nifty Microcap 250
RENUKA.NS,Nifty Microcap 250
RHIM.NS,"Nifty 500, Nifty Smallcap 250"
RITES.NS,"Nifty 500, Nifty India Railways Psu, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
RKFORGE.NS,"Nifty 500, Nifty Smallcap 250"
ROUTE.NS,Nifty Microcap 250
RPOWER.NS,"Nifty 500, Nifty Energy, Nifty High Beta 50, Nifty Smallcap 250"
RRKABEL.NS,"Nifty 500, Nifty Smallcap 250"
RTNINDIA.NS,"Nifty India Internet, Nifty Microcap 250"
RTNPOWER.NS,Nifty Microcap 250
RUBICON.NS,Nifty Microcap 250
RVNL.NS,"Nifty 200, Nifty 500, Nifty High Beta 50, Nifty India Railways Psu, Nifty Midcap 150, Nifty Pse"
SAATVIKGL.NS,Nifty Microcap 250
SAFARI.NS,Nifty Microcap 250
SAGILITY.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250"
SAIL.NS,"Nifty 200, Nifty 500, Nifty Dividend Opportunities 50, Nifty High Beta 50, Nifty Housing, Nifty India Railways Psu, Nifty Metal, Nifty Midcap 150, Nifty200 Value 30"
SAILIFE.NS,"Nifty 500, Nifty Smallcap 250"
SAMHI.NS,Nifty Microcap 250
SAMMAANCAP.NS,"Nifty 500, Nifty Smallcap 250"
SANDUMA.NS,Nifty Microcap 250
SANOFICONR.NS,Nifty Microcap 250
SANSERA.NS,Nifty Microcap 250
SAPPHIRE.NS,"Nifty 500, Nifty Smallcap 250"
SARDAEN.NS,"Nifty 500, Nifty Smallcap 250"
SAREGAMA.NS,"Nifty 500, Nifty Media, Nifty Smallcap 250"
SBFC.NS,"Nifty 500, Nifty Smallcap 250"
SBICARD.NS,"Nifty 200, Nifty 500, Nifty Financial Services, Nifty Low Volatility 50, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
SBILIFE.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha 50, Nifty Financial Services, Nifty Low Volatility 50, Nifty100 Low Volatility 30, Nifty200 Momentum 30"
SBIN.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha 50, Nifty Bank, Nifty Dividend Opportunities 50, Nifty Financial Services, Nifty Housing, Nifty Low Volatility 50, Nifty Psu Bank, Nifty100 Low Volatility 30, Nifty200 Momentum 30, Nifty200 Value 30"
SCHAEFFLER.NS,"Nifty 500, Nifty Ev & New Age Automotive, Nifty Midcap 150, Nifty Midcap150 Quality 50, Nifty Transportation & Logistics"
SCHNEIDER.NS,"Nifty 500, Nifty Smallcap 250"
SCI.NS,"Nifty 500, Nifty Smallcap 250"
SENCO.NS,Nifty Microcap 250
SFL.NS,Nifty Microcap 250
SHAILY.NS,Nifty Microcap 250
SHAKTIPUMP.NS,Nifty Microcap 250
SHARDACROP.NS,Nifty Microcap 250
SHAREINDIA.NS,Nifty Microcap 250
SHILPAMED.NS,Nifty Microcap 250
SHREECEM.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Cement, Nifty Commodities, Nifty Housing, Nifty Infrastructure, Nifty Low Volatility 50, Nifty Next 50, Nifty100 Low Volatility 30"
SHRIPISTON.NS,Nifty Microcap 250
SHRIRAMFIN.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha 50, Nifty Dividend Opportunities 50, Nifty Financial Services, Nifty High Beta 50, Nifty200 Momentum 30, Nifty200 Value 30"
SHYAMMETL.NS,"Nifty 500, Nifty Smallcap 250"
SIEMENS.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Energy, Nifty India Manufacturing, Nifty Next 50"
SIGNATURE.NS,"Nifty 500, Nifty Smallcap 250"
SJVN.NS,"Nifty 500, Nifty Cpse, Nifty Energy, Nifty Midcap 150"
SKFINDIA.NS,Nifty Microcap 250
SKFINDUS.NS,Nifty Microcap 250
SKIPPER.NS,Nifty Microcap 250
SKYGOLD.NS,Nifty Microcap 250
SMARTWORKS.NS,Nifty Microcap 250
SMLMAH.NS,Nifty Microcap 250
SOBHA.NS,"Nifty 500, Nifty Realty, Nifty Reits & Realty, Nifty Smallcap 250"
SOLARINDS.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Chemicals, Nifty India Defence, Nifty India Manufacturing, Nifty Next 50"
SONACOMS.NS,"Nifty 500, Nifty Auto, Nifty Ev & New Age Automotive, Nifty India Manufacturing, Nifty Midcap150 Quality 50, Nifty Smallcap 250, Nifty Transportation & Logistics"
SONATSOFTW.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
SOUTHBANK.NS,Nifty Microcap 250
SPARC.NS,Nifty Microcap 250
SPLPETRO.NS,"Nifty 500, Nifty Smallcap 250"
SRF.NS,"Nifty 200, Nifty 500, Nifty Chemicals, Nifty Commodities, Nifty India Manufacturing, Nifty Low Volatility 50, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
STAR.NS,Nifty Microcap 250
STARCEMENT.NS,"Nifty Cement, Nifty Microcap 250"
STARHEALTH.NS,"Nifty 500, Nifty Smallcap 250"
STLTECH.NS,Nifty Microcap 250
STYL.NS,"Nifty India Internet, Nifty Microcap 250"
STYRENIX.NS,Nifty Microcap 250
SUBROS.NS,Nifty Microcap 250
SUDARSCHEM.NS,Nifty Microcap 250
SUDEEPPHRM.NS,Nifty Microcap 250
SUMICHEM.NS,"Nifty 500, Nifty Chemicals, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
SUNDARMFIN.NS,"Nifty 500, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
SUNPHARMA.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Healthcare Index, Nifty India Manufacturing, Nifty Low Volatility 50, Nifty Pharma, Nifty100 Low Volatility 30"
SUNTECK.NS,Nifty Microcap 250
SUNTV.NS,"Nifty 500, Nifty Media, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
SUPREMEIND.NS,"Nifty 200, Nifty 500, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Quality 50"
SUPRIYA.NS,Nifty Microcap 250
SURYAROSNI.NS,Nifty Microcap 250
SUZLON.NS,"Nifty 200, Nifty 500, Nifty Energy, Nifty India Manufacturing, Nifty Infrastructure, Nifty Midcap 150"
SWANCORP.NS,"Nifty 500, Nifty Smallcap 250"
SWIGGY.NS,"Nifty 200, Nifty 500, Nifty India Digital, Nifty India Internet, Nifty Midcap 150, Nifty Non-Cyclical Consumer, Nifty Transportation & Logistics"
SWSOLAR.NS,Nifty Microcap 250
SYNGENE.NS,"Nifty 500, Nifty Healthcare Index, Nifty Midcap150 Quality 50, Nifty Smallcap 250"
SYRMA.NS,"Nifty 500, Nifty Smallcap 250"
TANLA.NS,Nifty Microcap 250
TARC.NS,Nifty Microcap 250
TARIL.NS,"Nifty 500, Nifty Smallcap 250"
TATACAP.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Next 50"
TATACHEM.NS,"Nifty 500, Nifty Chemicals, Nifty Ev & New Age Automotive, Nifty Smallcap 250"
TATACOMM.NS,"Nifty 200, Nifty 500, Nifty India Digital, Nifty Midcap 150, Nifty Non-Cyclical Consumer"
TATACONSUM.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Fmcg, Nifty India Consumption, Nifty Low Volatility 50, Nifty Non-Cyclical Consumer"
TATAELXSI.NS,"Nifty 200, Nifty 500, Nifty Ev & New Age Automotive, Nifty India Digital, Nifty Midcap 150, Nifty Midcap150 Quality 50, Nifty200 Quality 30"
TATAINVEST.NS,"Nifty 200, Nifty 500, Nifty Midcap 150"
TATAPOWER.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Commodities, Nifty Energy, Nifty High Beta 50, Nifty Housing, Nifty India Consumption, Nifty Infrastructure, Nifty Next 50"
TATASTEEL.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Commodities, Nifty Dividend Opportunities 50, Nifty High Beta 50, Nifty Housing, Nifty India Manufacturing, Nifty Metal, Nifty200 Value 30"
TATATECH.NS,"Nifty 500, Nifty Ev & New Age Automotive, Nifty India Digital, Nifty Smallcap 250"
TBOTEK.NS,"Nifty 500, Nifty India Digital, Nifty India Internet, Nifty Smallcap 250"
TCS.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Dividend Opportunities 50, Nifty India Digital, Nifty It, Nifty Low Volatility 50, Nifty100 Low Volatility 30, Nifty200 Quality 30"
TDPOWERSYS.NS,Nifty Microcap 250
TECHM.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Dividend Opportunities 50, Nifty India Digital, Nifty It, Nifty Low Volatility 50"
TECHNOE.NS,"Nifty 500, Nifty Smallcap 250"
TEGA.NS,"Nifty 500, Nifty Smallcap 250"
TEJASNET.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250"
TENNIND.NS,"Nifty 500, Nifty Smallcap 250"
TEXRAIL.NS,Nifty Microcap 250
THANGAMAYL.NS,Nifty Microcap 250
THELEELA.NS,"Nifty 500, Nifty Smallcap 250"
THERMAX.NS,"Nifty 500, Nifty Energy, Nifty Midcap 150"
THOMASCOOK.NS,"Nifty India Internet, Nifty Microcap 250"
THYROCARE.NS,Nifty Microcap 250
TI.NS,Nifty Microcap 250
TIINDIA.NS,"Nifty 200, Nifty 500, Nifty Auto, Nifty Ev & New Age Automotive, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Quality 50, Nifty Transportation & Logistics"
TIMETECHNO.NS,Nifty Microcap 250
TIMKEN.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
TIPSMUSIC.NS,"Nifty Media, Nifty Microcap 250"
TITAGARH.NS,"Nifty 500, Nifty Smallcap 250"
TITAN.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Consumer Durables, Nifty India Consumption, Nifty Low Volatility 50, Nifty Non-Cyclical Consumer, Nifty100 Low Volatility 30"
TMB.NS,Nifty Microcap 250
TMCV.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Ev & New Age Automotive, Nifty India Manufacturing, Nifty Next 50, Nifty Transportation & Logistics"
TMPV.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Auto, Nifty Ev & New Age Automotive, Nifty India Manufacturing, Nifty Transportation & Logistics, Nifty200 Value 30"
TORNTPHARM.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Healthcare Index, Nifty India Manufacturing, Nifty Low Volatility 50, Nifty Next 50, Nifty Pharma, Nifty100 Low Volatility 30"
TORNTPOWER.NS,"Nifty 500, Nifty Commodities, Nifty Energy, Nifty Housing, Nifty Midcap 150"
TRANSRAILL.NS,Nifty Microcap 250
TRAVELFOOD.NS,"Nifty 500, Nifty Smallcap 250"
TRENT.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty India Consumption, Nifty Non-Cyclical Consumer"
TRIDENT.NS,"Nifty 500, Nifty Smallcap 250"
TRITURBINE.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
TRIVENI.NS,Nifty Microcap 250
TSFINV.NS,Nifty Microcap 250
TTML.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250"
TVSMOTOR.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Auto, Nifty Ev & New Age Automotive, Nifty India Consumption, Nifty India Manufacturing, Nifty Next 50, Nifty Transportation & Logistics, Nifty200 Momentum 30"
TVSSCS.NS,Nifty Microcap 250
UBL.NS,"Nifty 500, Nifty Fmcg, Nifty Midcap 150"
UCOBANK.NS,"Nifty 500, Nifty Psu Bank, Nifty Smallcap 250"
UJJIVANSFB.NS,Nifty Microcap 250
ULTRACEMCO.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Cement, Nifty Commodities, Nifty Housing, Nifty Infrastructure, Nifty Low Volatility 50, Nifty100 Low Volatility 30"
UNIONBANK.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Bank, Nifty Dividend Opportunities 50, Nifty Next 50, Nifty Psu Bank, Nifty200 Value 30"
UNITDSPR.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Fmcg, Nifty India Consumption, Nifty Low Volatility 50, Nifty Next 50, Nifty Non-Cyclical Consumer"
UNOMINDA.NS,"Nifty 500, Nifty Auto, Nifty Ev & New Age Automotive, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Transportation & Logistics"
UPL.NS,"Nifty 200, Nifty 500, Nifty Chemicals, Nifty Commodities, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty200 Momentum 30, Nifty200 Value 30"
URBANCO.NS,"Nifty 500, Nifty India Digital, Nifty India Internet, Nifty Smallcap 250"
USHAMART.NS,"Nifty 500, Nifty Smallcap 250"
UTIAMC.NS,"Nifty 500, Nifty Capital Markets, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
UTLSOLAR.NS,Nifty Microcap 250
V2RETAIL.NS,Nifty Microcap 250
VAIBHAVGBL.NS,Nifty Microcap 250
VAML.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Commodities, Nifty Dividend Opportunities 50, Nifty High Beta 50, Nifty India Manufacturing, Nifty Metal, Nifty Next 50, Nifty200 Value 30"
VARROC.NS,Nifty Microcap 250
VBL.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Fmcg, Nifty India Consumption, Nifty Next 50, Nifty Non-Cyclical Consumer"
VEDL.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Commodities, Nifty Dividend Opportunities 50, Nifty High Beta 50, Nifty India Manufacturing, Nifty Metal, Nifty Next 50, Nifty200 Value 30"
VGUARD.NS,Nifty Microcap 250
VIJAYA.NS,"Nifty 500, Nifty Smallcap 250"
VIKRAMSOLR.NS,Nifty Microcap 250
VIPIND.NS,Nifty Microcap 250
VIYASH.NS,Nifty Microcap 250
VMART.NS,Nifty Microcap 250
VMM.NS,"Nifty 200, Nifty 500, Nifty Midcap 150, Nifty Non-Cyclical Consumer"
VOGL.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Commodities, Nifty Dividend Opportunities 50, Nifty High Beta 50, Nifty India Manufacturing, Nifty Metal, Nifty Next 50, Nifty200 Value 30"
VOLTAMP.NS,Nifty Microcap 250
VOLTAS.NS,"Nifty 200, Nifty 500, Nifty Consumer Durables, Nifty Housing, Nifty India Manufacturing, Nifty Midcap 150, Nifty Non-Cyclical Consumer"
VTL.NS,"Nifty 500, Nifty Smallcap 250"
WAAREEENER.NS,"Nifty 200, Nifty 500, Nifty Midcap 150"
WAAREERTL.NS,Nifty Microcap 250
WABAG.NS,Nifty Microcap 250
WAKEFIT.NS,Nifty Microcap 250
WEBELSOLAR.NS,Nifty Microcap 250
WELCORP.NS,"Nifty 500, Nifty Metal, Nifty Smallcap 250"
WELENT.NS,Nifty Microcap 250
WELSPUNLIV.NS,"Nifty 500, Nifty Smallcap 250"
WESTLIFE.NS,Nifty Microcap 250
WEWORK.NS,Nifty Microcap 250
WHIRLPOOL.NS,"Nifty 500, Nifty Consumer Durables, Nifty Housing, Nifty Smallcap 250"
WIPRO.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Dividend Opportunities 50, Nifty India Digital, Nifty It, Nifty Low Volatility 50, Nifty100 Low Volatility 30"
WOCKPHARMA.NS,"Nifty 500, Nifty High Beta 50, Nifty Pharma, Nifty Smallcap 250"
YATHARTH.NS,Nifty Microcap 250
YESBANK.NS,"Nifty 200, Nifty 500, Nifty Bank, Nifty Housing, Nifty Midcap 150, Nifty Private Bank"
ZAGGLE.NS,Nifty Microcap 250
ZEEL.NS,"Nifty 500, Nifty Media, Nifty Smallcap 250"
ZENSARTECH.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
ZENTEC.NS,"Nifty 500, Nifty India Defence, Nifty Smallcap 250"
ZFCVINDIA.NS,"Nifty 500, Nifty Ev & New Age Automotive, Nifty Smallcap 250"
ZYDUSLIFE.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Healthcare Index, Nifty India Manufacturing, Nifty Next 50, Nifty Pharma"
ZYDUSWELL.NS,"Nifty 500, Nifty Smallcap 250"
