Symbol,Index Membership
BALKRISIND.NS,"Nifty 500, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Quality 50, Nifty Transportation & Logistics"
BALRAMCHIN.NS,"Nifty 500, Nifty Smallcap 250"
BALUFORGE.NS,Nifty Microcap 250
BANCOINDIA.NS,Nifty Microcap 250
BANDHANBNK.NS,"Nifty 500, Nifty High Beta 50, Nifty Housing, Nifty Private Bank, Nifty Smallcap 250"
BANKBARODA.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Bank, Nifty Dividend Opportunities 50, Nifty Housing, Nifty Next 50, Nifty Psu Bank, Nifty200 Value 30"
BANKINDIA.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Dividend Opportunities 50, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Psu Bank, Nifty200 Value 30"
BATAINDIA.NS,"Nifty 500, Nifty Consumer Durables, Nifty Smallcap 250"
BAYERCROP.NS,"Nifty 500, Nifty Chemicals, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
BBOX.NS,Nifty Microcap 250
BBTC.NS,"Nifty 500, Nifty Smallcap 250"
BDL.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty India Defence, Nifty Midcap 150, Nifty Midcap150 Quality 50"
BECTORFOOD.NS,Nifty Microcap 250
BEL.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha 50, Nifty Alpha Quality Value Low-Volatility 30, Nifty Cpse, Nifty India Defence, Nifty India Manufacturing, Nifty India Railways Psu, Nifty Pse, Nifty200 Quality 30"
BELRISE.NS,"Nifty 500, Nifty Smallcap 250"
BEML.NS,"Nifty 500, Nifty India Defence, Nifty India Railways Psu, Nifty Smallcap 250"
BERGEPAINT.NS,"Nifty 500, Nifty Housing, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50"
BHARATFORG.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Auto, Nifty Ev & New Age Automotive, Nifty India Defence, Nifty India Manufacturing, Nifty Infrastructure, Nifty Midcap 150, Nifty Transportation & Logistics"
BHARTIARTL.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty India Consumption, Nifty India Digital, Nifty Infrastructure, Nifty Low Volatility 50, Nifty Non-Cyclical Consumer, Nifty100 Low Volatility 30, Nifty200 Momentum 30"
BHARTIHEXA.NS,"Nifty 500, Nifty India Digital, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
BHEL.NS,"Nifty 200, Nifty 500, Nifty Energy, Nifty High Beta 50, Nifty India Manufacturing, Nifty India Railways Psu, Nifty Midcap 150, Nifty Pse"
BIKAJI.NS,"Nifty 500, Nifty Smallcap 250"
BIOCON.NS,"Nifty 200, Nifty 500, Nifty Healthcare Index, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Pharma"
BIRET.NS,Nifty Reits & Realty
BIRLACORPN.NS,"Nifty Cement, Nifty Microcap 250"
BLACKBUCK.NS,Nifty Microcap 250
BLS.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
BLUEDART.NS,"Nifty 500, Nifty Smallcap 250"
BLUEJET.NS,"Nifty 500, Nifty Smallcap 250"
BLUESTARCO.NS,"Nifty 200, Nifty 500, Nifty Consumer Durables, Nifty India Manufacturing, Nifty Midcap 150"
BLUESTONE.NS,Nifty Microcap 250
BORORENEW.NS,Nifty Microcap 250
BOSCHLTD.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Auto, Nifty Ev & New Age Automotive, Nifty India Manufacturing, Nifty Next 50, Nifty Transportation & Logistics, Nifty100 Low Volatility 30"
BPCL.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Commodities, Nifty Dividend Opportunities 50, Nifty Energy, Nifty India Manufacturing, Nifty India Railways Psu, Nifty Infrastructure, Nifty Next 50, Nifty Oil & Gas, Nifty Pse, Nifty200 Value 30"
BRIGADE.NS,"Nifty 500, Nifty Realty, Nifty Reits & Realty, Nifty Smallcap 250"
BRITANNIA.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Dividend Opportunities 50, Nifty Fmcg, Nifty India Consumption, Nifty Low Volatility 50, Nifty Next 50, Nifty Non-Cyclical Consumer, Nifty100 Low Volatility 30, Nifty200 Quality 30"
BSE.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Capital Markets, Nifty Financial Services, Nifty High Beta 50, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty200 Momentum 30"
BSOFT.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
CAMPUS.NS,Nifty Microcap 250
CAMS.NS,"Nifty 500, Nifty Capital Markets, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
CANBK.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Bank, Nifty Dividend Opportunities 50, Nifty Next 50, Nifty Psu Bank, Nifty200 Momentum 30, Nifty200 Value 30"
CANFINHOME.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
CANHLIFE.NS,"Nifty 500, Nifty Smallcap 250"
CAPILLARY.NS,Nifty Microcap 250
CAPLIPOINT.NS,"Nifty 500, Nifty Smallcap 250"
CARBORUNIV.NS,"Nifty 500, Nifty Smallcap 250"
CARTRADE.NS,"Nifty 500, Nifty High Beta 50, Nifty India Digital, Nifty India Internet, Nifty Smallcap 250"
CASTROLIND.NS,"Nifty 500, Nifty Energy, Nifty India Manufacturing, Nifty Oil & Gas, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
CCAVENUE.NS,"Nifty India Internet, Nifty Microcap 250"
CCL.NS,"Nifty 500, Nifty Smallcap 250"
CDSL.NS,"Nifty 500, Nifty Capital Markets, Nifty High Beta 50, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
CEATLTD.NS,"Nifty 500, Nifty Smallcap 250"
CELLO.NS,Nifty Microcap 250
CEMPRO.NS,"Nifty 500, Nifty Smallcap 250"
CENTRALBK.NS,"Nifty 500, Nifty Psu Bank, Nifty Smallcap 250"
CENTURYPLY.NS,Nifty Microcap 250
CERA.NS,Nifty Microcap 250
CESC.NS,"Nifty 500, Nifty Energy, Nifty Smallcap 250"
CGCL.NS,"Nifty 500, Nifty Smallcap 250"
CGPOWER.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Energy, Nifty Ev & New Age Automotive, Nifty India Manufacturing, Nifty Infrastructure, Nifty Next 50"
CHALET.NS,"Nifty 500, Nifty Smallcap 250"
CHAMBLFERT.NS,"Nifty 500, Nifty Chemicals, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
CHENNPETRO.NS,"Nifty 500, Nifty Oil & Gas, Nifty Smallcap 250"
