Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,414725.05,Large,1728.5,1746.23,1707.02,43.4,Bearish,Bearish,1.31,6.9,-2.2,25.69,0.5758,0.118,19.5,2.25,1851.2,1548,-6.63,11.66,-14.83,-2.2,22.58,Strong Bull,Recovering,15,5,-3.64,0.35,0.94,Stable,Golden Cross,98,7.85,14.23,16.39,68.5,66,1.04
MARUTI.NS,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,393286.15,Large,12509,14094.44,14471.62,35.07,Bullish,Bearish,-24.38,-23.11,6.06,70.31,0.9182,0.111,22.09,3.09,17370,11059.45,-27.99,13.11,-28.83,6.06,14.28,Strong Bear,Damaged,60,9,-9.65,-1.05,1.31,Rising,Death Cross,8,-6.73,-11.47,-13.62,85.5,71.5,1.2
AXISBANK.NS,Axis Bank Limited,Financial Services,Banks - Regional,371043.62,Large,1193.1,1274.08,1230.6,40.36,Bearish,Bearish,-3.16,2.27,8.77,23.49,1.2243,0.311,23.69,3.03,1418.3,1032.35,-15.88,15.57,-17.23,8.77,11.65,Bull,Correcting,25,8,-13.45,0.1,1.2,Rising,Golden Cross,125,-3.45,9.76,11.76,126.2,106.9,1.18
HCLTECH.NS,HCL Technologies Limited,Technology,Information Technology Services,366453.59,Large,1354.4,1442.23,1525.65,43.04,Bullish,Bearish,-16.35,-3.42,-12.61,-5.08,0.9828,0.155,24.84,3.16,1780.1,1297.7,-23.91,4.37,-24.16,-12.61,10.47,Strong Bear,Damaged,45,6,4.06,-0.14,0.87,Stable,Death Cross,24,9.66,-3.43,6.07,106.6,115.3,0.92
ITC.NS,ITC Limited,Consumer Defensive,Tobacco,365484.6,Large,291.7,316.48,362.46,36.23,Bearish,Bearish,-26.03,-25.57,-26.19,8.52,0.5506,-0.241,18.79,2.31,444.2,287,-34.33,1.64,-32.46,-26.19,-4.48,Strong Bear,Damaged,221,2,0.32,-1.36,0.94,Stable,Death Cross,295,2.69,-13.11,-16.08,34.5,69,0.5
M&M.NS,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,363923.35,Large,3031.5,3306.4,3358.98,42.6,Bullish,Bearish,-15.61,-14.12,10.13,54.94,1.3805,0.291,26.74,3.62,3839.9,2425,-21.05,25.01,-22.91,10.13,34.78,Strong Bear,Damaged,63,7,-7.8,-0.53,1.49,Rising,Death Cross,6,-1.95,-2.69,-4.63,149.8,126.9,1.18
ONGC.NS,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,362374.94,Large,288.05,264.81,246.21,68.7,Bullish,Bullish,25.56,26.03,24.53,51.46,0.6172,0.217,23.62,2.85,293,205,-1.69,40.51,-12.29,24.53,28.42,Strong Bull,At High,0,7,-5.68,1.1,0.79,Falling,Golden Cross,110,13.89,38.47,35.52,87.4,52.7,1.66
TITAN.NS,Titan Company Limited,Consumer Cyclical,Luxury Goods,360628.25,Large,4065.5,4097.01,3852.15,48.45,Bearish,Bearish,2.05,20.33,32.43,2.25,0.7999,0.152,20.87,2.9,4378.4,2925,-7.15,38.99,-11.27,32.43,19.53,Strong Bull,Recovering,24,8,-7.07,0.97,1.35,Rising,Golden Cross,225,4.67,14.97,29.82,81.9,40.4,2.03
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,354109.25,Large,356.05,396.21,409.2,32.55,Bearish,Bearish,-17.53,-11.58,-18.1,40.75,0.9562,0.143,21.32,2.86,460.38,351.65,-22.66,1.25,-22.03,-18.1,0.66,Strong Bear,Damaged,245,7,-10.29,-0.54,1.21,Rising,Death Cross,13,-5.09,-4.61,-2.1,85.3,104,0.82
NTPC.NS,NTPC Limited,Utilities,Utilities - Regulated Electric,353588.95,Large,364.65,366.79,345.44,42.47,Bearish,Bullish,12.87,8.82,2,25.86,0.7301,0.283,18.89,2.64,394.5,315.55,-7.57,15.56,-11.58,2,30.78,Strong Bull,Recovering,14,5,-8.81,0.47,1.03,Stable,Golden Cross,53,6.53,25.79,18.31,83.6,75.4,1.11
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,319190.49,Large,1385.4,1432.49,1418.91,47.56,Bearish,Bearish,-4.74,-1.55,15.93,4.71,1.4484,0.215,28.05,3.58,1584,1041.5,-12.54,33.02,-16.98,15.93,26.78,Strong Bear,Correcting,39,7,-9.07,-0.06,1.11,Stable,Golden Cross,229,0.4,8.17,7.94,159.2,129,1.23
ULTRACEMCO.NS,UltraTech Cement Limited,Basic Materials,Building Materials,315177.91,Large,10714,11770.03,11907.79,38.65,Bearish,Bearish,-9.2,-11.75,-2.44,121.43,1.0627,0.371,21.78,3.33,13110,10325,-18.28,3.77,-20.61,-2.44,14.8,Strong Bear,Correcting,30,5,-14.12,-0.54,1.51,Rising,Death Cross,5,-6.13,3.72,-2.27,99.7,95.7,1.04
BEL.NS,Bharat Electronics Limited,Industrials,Aerospace & Defense,306060.46,Large,418.7,428.92,400.01,45.11,Bearish,Bearish,6.92,4.3,39.51,25.74,0.898,0.205,27.49,3.43,473.45,256.2,-11.56,63.43,-15.63,39.51,64.95,Bull,Correcting,18,6,-8.67,0.16,1.14,Stable,Golden Cross,1485,4.69,19.84,13.79,114.9,63.5,1.81
ADANIPOWER.NS,Adani Power Limited,Utilities,Utilities - Independent Power Producers,303003.02,Large,157.11,146.36,138.02,62.37,Bullish,Bullish,11.87,5.44,49.93,52.2,1.1768,0.205,42.65,3.84,182.7,92.4,-14.01,70.03,-22.15,49.93,64.1,Strong Bull,Correcting,115,9,7.2,0.13,1.02,Stable,Golden Cross,198,22.21,24.78,14.93,154.9,86.4,1.79
DMART.NS,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,278864.93,Large,4271.1,3870.97,4005.22,70.74,Bullish,Bullish,12.75,-6.67,9.37,110.24,0.7412,0.222,24.81,3.04,4949.5,3529,-13.71,21.03,-24.5,9.37,7.51,Bear,Correcting,149,5,6.24,-0.27,1.33,Rising,Death Cross,91,21.54,25.67,2.82,90.2,71.4,1.26
JSWSTEEL.NS,JSW Steel Limited,Basic Materials,Steel,278583.97,Large,1140.4,1183.6,1131.59,44.57,Bearish,Bearish,4.37,-0.71,7.74,43.7,1.3971,0.597,26.68,3.14,1284.7,905.2,-11.23,25.98,-13.35,7.74,19.73,Bull,Correcting,24,8,-12.41,-0.03,1.43,Rising,Golden Cross,944,0.1,17.29,8.78,132,112.7,1.17
