Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
TECHM.NS,Tech Mahindra Limited,Technology,Information Technology Services,120372.29,Large,1358.5,-4.43,1454.5,1495.81,36.9,Bearish,Bearish,-1.9,-20.94,-5.17,6.96,38.41,0.7597,0.142,25.25,3.57,1854.0,1304.1,-26.73,4.17,-24.69,6.96,11.66,Strong Bear,Damaged,60,8.0,5.08,-0.2,1.03,Stable,Death Cross,35,-5.29,-14.34,1.42,103.7,92.1,1.13
GVT&D.NS,GE Vernova T&D India Ltd,Industrials,Specialty Industrial Machinery,117737.88,Large,4598.3,2.27,3799.39,3129.36,75.35,Bullish,Bullish,24.99,73.7,55.37,219.18,63.49,1.0077,0.484,41.59,4.12,4694.0,1437.1,-2.04,219.97,-19.34,219.18,242.7,Strong Bull,Recovering,0,10.0,0.42,1.33,0.92,Stable,Golden Cross,245,21.6,80.3,61.96,180.5,18.7,9.65
BHEL.NS,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery,117481.34,Large,337.39,-0.06,279.2,261.56,79.64,Bullish,Bullish,28.75,28.24,45.04,48.69,87.78,1.3326,0.578,34.54,3.34,341.25,205.12,-1.13,64.48,-21.82,48.69,69.23,Strong Bull,At High,0,7.0,19.34,1.3,0.92,Stable,Golden Cross,126,25.36,34.83,51.63,153.2,95.2,1.61
HDFCAMC.NS,HDFC Asset Management Company Limited,Financial Services,Asset Management,117186.08,Large,2735.0,0.99,2576.09,2567.17,59.65,Bullish,Bullish,14.63,6.02,-4.3,32.12,72.75,1.5237,0.467,30.61,3.36,2967.25,2087.5,-7.83,31.02,-24.77,32.12,51.08,Bull,Correcting,172,6.0,12.62,-0.14,1.26,Rising,Golden Cross,0,11.24,12.62,2.3,158.4,117.9,1.34
TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,116190.64,Large,1174.0,-0.88,1110.91,1118.33,69.24,Bullish,Bullish,11.79,-0.53,0.69,5.58,45.27,0.6934,0.357,20.42,2.49,1220.9,1007.2,-3.84,16.56,-16.31,5.58,20.03,Strong Bull,Correcting,76,6.0,11.97,0.03,0.86,Stable,Death Cross,22,8.4,6.07,7.28,70.5,61.6,1.14
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,114181.58,Large,10259.5,-1.13,10189.57,11188.1,56.2,Bullish,Bullish,7.86,-3.65,-18.93,-13.58,-11.42,1.2802,0.011,31.84,2.82,14763.0,8588.0,-30.51,19.46,-39.48,-13.58,20.47,Strong Bear,Damaged,177,5.0,9.08,-0.59,1.28,Rising,Death Cross,105,4.47,2.95,-12.33,93.5,107.4,0.87
ENRIN.NS,Siemens Energy India Limited,Utilities,Utilities - Renewable,114140.18,Large,3205.1,-0.51,2844.13,2872.13,71.92,Bullish,Bullish,14.83,38.56,2.1,,18.82,0.7205,1.2023,33.28,3.53,3625.0,2115.0,-11.58,51.54,-41.07,,,Bull,Correcting,152,5.0,1.98,0.06,0.89,Stable,Death Cross,82,11.44,45.15,7.73,95.5,59.3,1.61
AMBUJACEM.NS,Ambuja Cements Limited,Basic Materials,Building Materials,112114.95,Large,451.2,0.18,463.69,518.11,51.03,Bullish,Bullish,7.29,-18.28,-19.94,-20.52,28.65,1.3379,0.053,25.6,3.21,624.95,394.0,-27.8,14.52,-36.29,-20.52,8.37,Strong Bear,Damaged,197,6.0,13.38,-0.78,1.06,Stable,Death Cross,107,3.9,-11.69,-13.35,107.2,134.6,0.8
GODREJCP.NS,Godrej Consumer Products Limited,Consumer Defensive,Household & Personal Products,111523.44,Large,1089.9,-4.64,1101.36,1150.09,50.85,Bullish,Bullish,7.1,-11.16,-2.89,-10.57,35.38,0.8343,0.355,23.66,3.08,1309.0,967.05,-16.74,12.7,-23.23,-10.57,5.81,Strong Bear,Correcting,245,5.0,10.82,-0.12,1.13,Stable,Death Cross,31,3.72,-4.57,3.7,77.0,89.1,0.86
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,111181.48,Large,7732.5,-0.62,7504.55,7349.81,57.93,Bullish,Bullish,5.0,8.55,-2.01,9.6,4.97,0.7694,0.18,20.07,2.24,8099.5,6677.5,-4.53,15.8,-15.21,9.6,21.63,Bull,Correcting,132,6.0,2.15,-0.1,1.07,Stable,Golden Cross,45,1.61,15.14,4.59,97.2,83.9,1.16
